market,measure,n_onsets,calm,crash,p95,rise
fr_cac40,mean_corr,16,0.27063324033480607,0.4400962738065977,0.6189775686687207,0.16946303347179165
fr_cac40,absorption,16,0.32536572753048987,0.49452949137345714,0.6395108479976531,0.16916376384296727
fr_cac40,flicker,16,0.25,0.4166666666666667,0.5399999999999977,0.16666666666666669
hk_hsi,mean_corr,21,0.23114604576519251,0.3409534946019634,0.4892403876854299,0.10980744883677088
hk_hsi,absorption,21,0.3098577396493703,0.38499759415071666,0.5257650500010812,0.07513985450134636
hk_hsi,flicker,21,0.2,0.2833333333333333,0.4166666666666667,0.08333333333333331
in_nifty50,mean_corr,8,0.25030734527969023,0.2840904840349784,0.4133286342991706,0.033783138755288156
in_nifty50,absorption,8,0.28611047998599676,0.3330430555382865,0.45301371922949646,0.046932575552289746
in_nifty50,flicker,8,0.2,0.23333333333333334,0.35,0.033333333333333326
it_ftsemib,mean_corr,20,0.17954216014172317,0.3904767702115993,0.5668893707295363,0.21093461006987616
it_ftsemib,absorption,20,0.25618701150065093,0.4419553005882727,0.6046017882559969,0.18576828908762177
it_ftsemib,flicker,20,0.16666666666666666,0.36666666666666664,0.5,0.19999999999999998
jp_largecap,mean_corr,22,0.17076729614534186,0.435717612923968,0.6113331344581124,0.2649503167786261
jp_largecap,absorption,22,0.21719909404254545,0.47458811481891117,0.62814058749563,0.2573890207763657
jp_largecap,flicker,22,0.1,0.4,0.5333333333333333,0.30000000000000004
kr_kospi200,mean_corr,18,0.15286826358519712,0.2559718902273959,0.3896173619273715,0.1031036266421988
kr_kospi200,absorption,18,0.19255587324014373,0.28583064880189646,0.4314243479445155,0.09327477556175273
kr_kospi200,flicker,18,0.08333333333333333,0.15,0.31666666666666665,0.06666666666666667
nl_aex,mean_corr,15,0.19791609246186387,0.417255146297922,0.5742828950749528,0.21933905383605812
nl_aex,absorption,15,0.26871303415527653,0.47732599507298457,0.6119337740028812,0.20861296091770803
nl_aex,flicker,15,0.21666666666666667,0.45,0.5333333333333333,0.23333333333333334
se_omx30,mean_corr,11,0.3180931637434947,0.44213519713156324,0.6327702206764271,0.12404203338806852
se_omx30,absorption,11,0.38195299911551667,0.4954886743665529,0.6618795803795923,0.11353567525103625
se_omx30,flicker,11,0.4166666666666667,0.43333333333333335,0.6,0.016666666666666663
sg_sti,mean_corr,10,0.2292013741220508,0.3356347174182335,0.41163219064214873,0.10643334329618268
sg_sti,absorption,10,0.29700363175238,0.3950800349897211,0.47791226947532744,0.09807640323734113
sg_sti,flicker,10,0.21666666666666667,0.2583333333333333,0.38333333333333336,0.04166666666666663
uk_ftse100,mean_corr,8,0.21904267589295467,0.373876281928451,0.460761019814518,0.15483360603549634
uk_ftse100,absorption,8,0.2675575047180082,0.4238819450605126,0.49863976556161366,0.15632444034250437
uk_ftse100,flicker,8,0.18333333333333332,0.31666666666666665,0.4166666666666667,0.13333333333333333
uk_ftse250,mean_corr,15,0.1479770099461392,0.2761372928695215,0.34928035655991124,0.1281602829233823
uk_ftse250,absorption,15,0.22050628747761059,0.33303879194518515,0.4082731794019422,0.11253250446757457
uk_ftse250,flicker,15,0.05,0.16666666666666666,0.25,0.11666666666666665
us_sp400_mid,mean_corr,12,0.2273611418363572,0.35616175050124915,0.5261704344136714,0.12880060866489196
us_sp400_mid,absorption,12,0.26722205727035675,0.3887777944892422,0.5564153190806267,0.12155573721888546
us_sp400_mid,flicker,12,0.18333333333333332,0.36666666666666664,0.48333333333333334,0.18333333333333332
us_sp500,mean_corr,11,0.2392221667322145,0.38894747345310576,0.5318200136499989,0.14972530672089127
us_sp500,absorption,11,0.2711045440020958,0.4217404892494994,0.5526870394792656,0.1506359452474036
us_sp500,flicker,11,0.2,0.38333333333333336,0.48333333333333334,0.18333333333333335
us_sp600_small,mean_corr,17,0.22149916658319985,0.2633027511991584,0.4668772391688838,0.04180358461595857
us_sp600_small,absorption,17,0.25862024125096283,0.3122816292646068,0.5111765259810059,0.05366138801364395
us_sp600_small,flicker,17,0.18333333333333332,0.25,0.4666666666666667,0.06666666666666668
world_indices,mean_corr,10,0.4101803890416109,0.4852159488570201,0.6266449515611618,0.07503555981540916
world_indices,absorption,10,0.4987055920070586,0.5500107770584487,0.6845978204225605,0.05130518505139009
world_indices,flicker,10,0.2833333333333333,0.4,0.4666666666666667,0.1166666666666667
