market,date,mean_corr,R_hat,lam_hat
au_asx200,2001-03-07,0.03907372313153306,0.2995524994884271,3.7022396681568726
au_asx200,2001-03-14,0.04207270499370526,0.31083561084339606,3.7047075220319274
au_asx200,2001-03-21,0.04124001438182512,0.3077442550744327,3.7040313774762637
au_asx200,2001-03-28,0.047886094729845265,0.3316158350599363,3.7092525943301555
au_asx200,2001-04-04,0.051013624979063095,0.3422737892622078,3.7115837131812204
au_asx200,2001-04-11,0.049797667347090874,0.33816997872093557,3.7106861234625557
au_asx200,2001-04-20,0.049823175319131156,0.3382565784199939,3.71070506463899
au_asx200,2001-04-30,0.05350474893337225,0.3505312290141446,3.7133897890098417
au_asx200,2001-05-07,0.052495825946629916,0.3472105692703721,3.712663490849822
au_asx200,2001-05-14,0.053063164674454315,0.3490817336298419,3.7130727538686923
au_asx200,2001-05-21,0.054108268146622854,0.35250263448167735,3.7138209768683406
au_asx200,2001-05-28,0.05342542682183881,0.3502712970380242,3.713332936417118
au_asx200,2001-06-04,0.05863677963684186,0.36695736245831984,3.716982530036413
au_asx200,2001-06-12,0.05288236663305642,0.34848652651991857,3.7129425695492726
au_asx200,2001-06-19,0.04505127405955629,0.32165039495956765,3.707072942885212
au_asx200,2001-06-26,0.03687850213147939,0.2910162143527009,3.700372602975291
au_asx200,2001-07-03,0.040736233486912375,0.30585880395350845,3.703618989642038
au_asx200,2001-07-10,0.0438670393987244,0.31739473085698144,3.7061421395973517
au_asx200,2001-07-17,0.040790241322253305,0.3060614896096694,3.703663321259997
au_asx200,2001-07-24,0.03931437877028773,0.30047355760047645,3.702441122947086
au_asx200,2001-07-31,0.03997789770353879,0.30299853346064076,3.7029933882988044
au_asx200,2001-08-07,0.03975254959722504,0.30214335294234906,3.7028063423245565
au_asx200,2001-08-14,0.0352626325333365,0.2845692151126058,3.698962508582299
