topo,law,c,lam_f,lam_b,d_lam,dR_jump,area,rho_spearman,n,mean_deg,k2,kappa,k_max,cv_k,clustering,transitivity,C_rand,clustering_ratio,assortativity,path_len,small_world_sigma,lam_max_A,mu2_L,muN_L,eigenratio,g0,lam_c_theory,ratio
ring,bimodal,1.0,,,,0.19352361228446757,0.19339737857915099,0.0,600,6.0,36.0,1.0,6.0,0.0,0.6,0.6,0.010016694490818,59.9,,50.41736227045075,4.241686514333321,5.999999999999999,0.0015351735878058,8.630895778186485,5622.097622537971,0.0,,
ring,gauss,0.0,,,,0.19045247408173072,0.2115764955171626,0.0,600,6.0,36.0,1.0,6.0,0.0,0.6,0.6,0.010016694490818,59.9,,50.41736227045075,4.241686514333321,5.999999999999999,0.0015351735878058,8.630895778186485,5622.097622537971,0.3989422804014327,1.5957691216057306,
ring,gauss,1.0,,,,0.1827766557641823,0.21518107281923346,0.0,600,6.0,36.0,1.0,6.0,0.0,0.6,0.6,0.010016694490818,59.9,,50.41736227045075,4.241686514333321,5.999999999999999,0.0015351735878058,8.630895778186485,5622.097622537971,0.3989422804014327,1.5957691216057306,
ring,lorentz,0.0,,,,0.08586853285354677,0.0914185741975162,0.0,600,6.0,36.0,1.0,6.0,0.0,0.6,0.6,0.010016694490818,59.9,,50.41736227045075,4.241686514333321,5.999999999999999,0.0015351735878058,8.630895778186485,5622.097622537971,0.3183098861837907,2.0,
ring,lorentz,1.0,,,,0.0843313181061125,0.09120046222129043,0.0,600,6.0,36.0,1.0,6.0,0.0,0.6,0.6,0.010016694490818,59.9,,50.41736227045075,4.241686514333321,5.999999999999999,0.0015351735878058,8.630895778186485,5622.097622537971,0.3183098861837907,2.0,
ring,uniform,0.0,,,,0.16038534230732318,0.2318353417251449,0.0,600,6.0,36.0,1.0,6.0,0.0,0.6,0.6,0.010016694490818,59.9,,50.41736227045075,4.241686514333321,5.999999999999999,0.0015351735878058,8.630895778186485,5622.097622537971,0.2886751345948129,2.205315581687168,
ring,uniform,1.0,,,,0.1695551188554583,0.2054024366874575,0.0,600,6.0,36.0,1.0,6.0,0.0,0.6,0.6,0.010016694490818,59.9,,50.41736227045075,4.241686514333321,5.999999999999999,0.0015351735878058,8.630895778186485,5622.097622537971,0.2886751345948129,2.205315581687168,
rr,bimodal,0.0,1.7666666666666666,2.7000000000000006,-0.9333333333333335,0.5445308994554661,0.32948067710728357,0.0,600,6.0,36.0,1.0,6.0,0.0,0.005,0.005,0.010016694490818,0.4991666666666667,,3.856343906510852,0.462127364707989,5.999999999999995,1.5841583160967956,10.435824962420256,6.5876149223097,0.0,,
rr,bimodal,1.0,1.8,2.733333333333334,-0.9333333333333335,0.5808720047213235,0.43934599616856085,0.0,600,6.0,36.0,1.0,6.0,0.0,0.005,0.005,0.010016694490818,0.4991666666666667,,3.856343906510852,0.462127364707989,5.999999999999995,1.5841583160967956,10.435824962420256,6.5876149223097,0.0,,
rr,gauss,0.0,2.3666666666666667,2.3333333333333335,0.0333333333333332,0.19495814351432525,0.0357883643540076,0.0,600,6.0,36.0,1.0,6.0,0.0,0.005,0.005,0.010016694490818,0.4991666666666667,,3.856343906510852,0.462127364707989,5.999999999999995,1.5841583160967956,10.435824962420256,6.5876149223097,0.3989422804014327,1.5957691216057306,1.483088395823342
rr,gauss,1.0,2.4000000000000004,2.3666666666666667,0.03333333333333333,0.2045639016421731,0.04830745011309857,0.0,600,6.0,36.0,1.0,6.0,0.0,0.005,0.005,0.010016694490818,0.4991666666666667,,3.856343906510852,0.462127364707989,5.999999999999995,1.5841583160967956,10.435824962420256,6.5876149223097,0.3989422804014327,1.5957691216057306,1.5039769647786005
rr,lorentz,0.0,4.233333333333333,4.1000000000000005,0.1333333333333331,0.12563398609400547,0.0451654232802002,0.0,600,6.0,36.0,1.0,6.0,0.0,0.005,0.005,0.010016694490818,0.4991666666666667,,3.856343906510852,0.462127364707989,5.999999999999995,1.5841583160967956,10.435824962420256,6.5876149223097,0.3183098861837907,2.0,2.1166666666666667
