lam_f,lam_b,d_lam,dR_jump,max_gap,area,R_end,rho_spearman,rho_pearson,tag,topo,law,c,sigma,seed,n_nodes,mean_deg
1.4000000000000001,1.5,-0.09999999999999987,0.07022648671623488,0.012145638083811937,0.007293392040271275,0.9846313765447732,0.9638932615674074,0.6480686260394262,A,ba,gauss,1.0,0.0,32,600,5.97
1.4000000000000001,1.4000000000000001,0.0,0.09182107957760487,0.03533022983220376,0.012965324633420653,0.9844790961141047,0.9610510935937745,0.6794020076187884,A,ba,gauss,1.0,0.0,33,600,5.97
2.4000000000000004,2.4000000000000004,0.0,0.05831820990377875,0.0322200496687693,0.015400368343144528,0.9678083746809348,0.026894491565908674,0.022888966021587555,A,ba,uniform,0.0,0.0,31,600,5.97
2.4000000000000004,2.4000000000000004,0.0,0.13156929724714958,0.05056020432417596,0.026142457063607762,0.9717635900765553,-0.07632297816224612,-0.0692945984178541,A,ba,uniform,0.0,0.0,32,600,5.97
2.3000000000000003,2.3000000000000003,0.0,0.07865080141505415,0.07545234053917699,0.03285132547596468,0.9701639868382137,-0.02402035282047805,-0.04430982237355414,A,ba,uniform,0.0,0.0,33,600,5.97
1.6,1.6,0.0,0.04837546784037461,0.020549866872028977,0.013777791625638025,0.9852873345451654,0.965091880200385,0.5543417068515333,A,ba,uniform,1.0,0.0,31,600,5.97
1.6,1.6,0.0,0.050177796723283916,0.021957515837687118,0.010680512026252332,0.9856137567744647,0.9638932615674074,0.5571956513400734,A,ba,uniform,1.0,0.0,32,600,5.97
1.6,1.6,0.0,0.05296400257148952,0.0148611567253647,0.0072163423210312065,0.9854674669191837,0.9610510935937745,0.5911730717216117,A,ba,uniform,1.0,0.0,33,600,5.97
3.7,3.7,0.0,0.06315006450563479,0.04558385334193546,0.0231538558664808,0.7587710395173071,0.027002035225643255,0.032208454731371676,A,ba,lorentz,0.0,0.0,31,600,5.97
4.1000000000000005,4.1000000000000005,0.0,0.06471014161639524,0.05354447361261011,0.030475902238160026,0.7695120347188235,-0.07633705811812941,-0.08481769980528941,A,ba,lorentz,0.0,0.0,32,600,5.97
3.7,3.6,0.10000000000000009,0.06951424745106383,0.03969285033355826,0.026556808136841466,0.7794570743176562,-0.02419502646312629,-0.05480515910454053,A,ba,lorentz,0.0,0.0,33,600,5.97
5.0,5.0,0.0,0.23872401196945908,0.27797697380174946,0.12477124925051951,0.8489937529162122,0.9650918110961025,0.7351188395673587,A,ba,lorentz,1.0,0.0,31,600,5.97
5.800000000000001,5.1000000000000005,0.7000000000000002,0.5774838079811768,0.6049953607898069,0.4463353321046216,0.8489206681072418,0.9638932188635072,0.7413764834179124,A,ba,lorentz,1.0,0.0,32,600,5.97
5.0,4.800000000000001,0.1999999999999993,0.31401845125218175,0.394043389160408,0.19906290445912803,0.8483937635959558,0.9610509296143612,0.7531097390921924,A,ba,lorentz,1.0,0.0,33,600,5.97
2.7,2.6,0.10000000000000009,0.1330415408726135,0.20984134033008078,0.09203628081406949,0.9717146816402799,0.08602572700275739,0.09421185598601083,A,ba,bimodal,0.0,0.0,31,600,5.97
2.7,2.7,0.0,0.11603873123794686,0.22107064243351443,0.08630457103499001,0.9711949442900014,-0.09185165402189847,-0.08491455925004049,A,ba,bimodal,0.0,0.0,32,600,5.97
2.6,2.7,-0.10000000000000009,0.11350839866241075,0.16817504684567586,0.0856165522224832,0.9695743841209122,0.002364576191433113,-0.04393013451080112,A,ba,bimodal,0.0,0.0,33,600,5.97
2.5,2.4000000000000004,0.09999999999999964,0.2036992927811313,0.3548627703854527,0.10054610589061544,0.980851149292057,0.965091880200385,0.42289270137336915,A,ba,bimodal,1.0,0.0,31,600,5.97
