lam_f,lam_b,d_lam,dR_jump,max_gap,area,R_end,topo,law,c,sigma,seed,rho_spearman,rho_pearson,mean_deg,std_deg
2.0,2.0,0.0,0.21052548248206507,0.05667502341589961,0.03493163267139702,0.960489915433677,er,degree,-0.5,0.0,31,-0.4532127467890211,-0.44795683067183767,5.812709030100335,2.4416342090879812
2.0,2.0,0.0,0.1057633744090567,0.06676944690417967,0.021863288995587177,0.9516827394420783,er,degree,-0.5,0.0,32,-0.435300416150452,-0.4471795365865408,6.016666666666667,2.4013306496375897
2.0,2.0,0.0,0.10443299383961899,0.06439918218500448,0.03818495500161804,0.9692324900601096,er,degree,0.0,0.0,31,0.03486737444206142,0.041801523910306566,5.812709030100335,2.4416342090879812
2.375,2.5,-0.125,0.16570309378921722,0.04099599723096101,0.017317172602396964,0.9658235843090288,er,degree,0.0,0.0,32,0.03607846470165841,0.027987860686930967,6.016666666666667,2.4013306496375897
2.25,2.25,0.0,0.12336425063258732,0.051069716381450345,0.024119178996506768,0.9663212051427633,er,degree,0.25,0.0,31,0.26993907513744586,0.2819121490662719,5.812709030100335,2.4416342090879812
2.375,2.375,0.0,0.1023517648861817,0.07132769129215596,0.044262991495608875,0.9633257130501762,er,degree,0.25,0.0,32,0.2608241852381934,0.26788380943205353,6.016666666666667,2.4013306496375897
2.125,2.125,0.0,0.1918408016109095,0.10247370557626927,0.05192006891778864,0.9601591627373237,er,degree,0.5,0.0,31,0.49902478120233884,0.5116441607517107,5.812709030100335,2.4416342090879812
2.375,2.375,0.0,0.25341204765556635,0.0762049744476852,0.031143726566119932,0.9615319160391181,er,degree,0.5,0.0,32,0.48199753177938615,0.49592947637169416,6.016666666666667,2.4013306496375897
2.125,2.125,0.0,0.12951117641600546,0.07117316697522288,0.022013439732003356,0.9508740686895448,er,degree,0.75,0.0,31,0.7283927036399914,0.750352270573821,5.812709030100335,2.4416342090879812
2.375,2.375,0.0,0.17804765441444353,0.08266332854722291,0.03075369286751565,0.958374218051602,er,degree,0.75,0.0,32,0.7168216125545964,0.7352473625897199,6.016666666666667,2.4013306496375897
2.125,2.125,0.0,0.3203986692397315,0.06037739664010555,0.019081462253581066,0.9416457204465417,er,degree,1.0,0.0,31,0.9999999999999999,0.9999999999999998,5.812709030100335,2.4416342090879812
2.0,2.125,-0.125,0.28183496414672643,0.057396219750917576,0.03600133465817899,0.9521391246258807,er,degree,1.0,0.0,32,1.0,1.0,6.016666666666667,2.4013306496375897
4.5,4.5,0.0,0.07713563561549319,0.053845256591698365,0.030673771728108014,0.7359234826544946,er,lorentz,-1.0,0.0,31,-0.9911372856119426,-0.806446506563654,5.812709030100335,2.4416342090879812
4.0,4.0,0.0,0.07595070123608613,0.04579684009679488,0.032519615919902836,0.7613636368727424,er,lorentz,-1.0,0.0,32,-0.9913625875072625,-0.7747501671923465,6.016666666666667,2.4013306496375897
3.875,4.0,-0.125,0.1353202659333956,0.03919289406806149,0.018904913486252926,0.7491672555669104,er,lorentz,-0.5,0.0,31,-0.45435908688776466,-0.391064997200848,5.812709030100335,2.4416342090879812
4.25,4.25,0.0,0.07894724167187295,0.02996269312455975,0.02144159276978387,0.7662274918431023,er,lorentz,-0.5,0.0,32,-0.44665767942419754,-0.38335319203910084,6.016666666666667,2.4013306496375897
3.875,3.875,0.0,0.11327524618888224,0.06834302873706044,0.053857457689468015,0.7657788871783539,er,lorentz,0.0,0.0,31,0.036764250305265735,0.05685045621313139,5.812709030100335,2.4416342090879812
4.25,4.125,0.125,0.0710981818654674,0.06174991176812537,0.020918495911378232,0.758643530752708,er,lorentz,0.0,0.0,32,0.03532834246165477,0.03894098864540632,6.016666666666667,2.4013306496375897
3.875,3.875,0.0,0.10459498683681476,0.07567047065175092,0.036502219237659325,0.7643785245087038,er,lorentz,0.25,0.0,31,0.27187995141643995,0.22907190462498808,5.812709030100335,2.4416342090879812
4.25,4.25,0.0,0.07818663875133847,0.034587517129640255,0.026788778142157372,0.7599873301108957,er,lorentz,0.25,0.0,32,0.2608648410714657,0.22928375520909766,6.016666666666667,2.4013306496375897
4.0,4.0,0.0,0.19570883743039336,0.1252334802351287,0.04043563494123107,0.7582241220550165,er,lorentz,0.5,0.0,31,0.5043237628860465,0.422127307993299,5.812709030100335,2.4416342090879812
4.125,4.25,-0.125,0.07805003926583391,0.05442188122168774,0.04660393965429312,0.753736858919393,er,lorentz,0.5,0.0,32,0.48709055667136697,0.41789209780892267,6.016666666666667,2.4013306496375897
4.0,4.0,0.0,0.09387011106776516,0.06169535367552492,0.04077201397173519,0.7522460292256231,er,lorentz,0.75,0.0,31,0.7400933034319962,0.6249546527696881,5.812709030100335,2.4416342090879812
4.25,4.25,0.0,0.1329904517068332,0.12581375773080178,0.05427952530957775,0.752393034319249,er,lorentz,0.75,0.0,32,0.7260560900299168,0.5979242906199846,6.016666666666667,2.4013306496375897
4.5,4.5,0.0,0.12273183636948878,0.12452661429209241,0.04374093820825884,0.7363368285086358,er,lorentz,1.0,0.0,31,0.9911372856119426,0.8064465065636538,5.812709030100335,2.4416342090879812
4.0,3.875,0.125,0.06972043065281429,0.03403124566646265,0.029607679119469873,0.7626466298809202,er,lorentz,1.0,0.0,32,0.9913625875072625,0.7747501671923465,6.016666666666667,2.4013306496375897
1.875,1.875,0.0,0.17554327161942512,0.02206845431751478,0.010721228860881808,0.937505443242797,er,gauss,-1.0,0.0,31,-0.9911372606333253,-0.9814147482600883,5.812709030100335,2.4416342090879812
1.875,1.875,0.0,0.16605974221958658,0.016860728410570486,0.012211823224854966,0.9415721680731031,er,gauss,-1.0,0.0,32,-0.9913662329317273,-0.9824175894997651,6.016666666666667,2.4013306496375897
2.125,2.125,0.0,0.11333914418250676,0.029880395048917735,0.02365021791912833,0.9612809367769238,er,gauss,-0.5,0.0,31,-0.45436762861387536,-0.4617956744105558,5.812709030100335,2.4416342090879812
