t,order
4.350000000000000533e+00,1.770446459405562167e-01
4.400000000000000355e+00,1.772378273894805734e-01
4.450000000000000178e+00,1.771656346246452129e-01
4.500000000000000000e+00,1.768407112542587367e-01
4.549999999999999822e+00,1.762739111297929318e-01
4.600000000000000533e+00,1.754731332552331990e-01
4.650000000000000355e+00,1.744431829757455421e-01
4.700000000000000178e+00,1.731865985055507651e-01
4.750000000000000000e+00,1.717051473637394576e-01
4.800000000000000711e+00,1.700016241273136774e-01
4.850000000000000533e+00,1.680820337489462579e-01
4.900000000000000355e+00,1.659572824995778351e-01
4.950000000000000178e+00,1.636448284101640060e-01
5.000000000000000000e+00,1.611690188480739694e-01
5.050000000000000711e+00,1.585610099018796570e-01
5.100000000000000533e+00,1.558587098252178227e-01
5.150000000000000355e+00,1.531062181195291250e-01
5.200000000000000178e+00,1.503533019081901845e-01
5.250000000000000000e+00,1.476543195345277060e-01
5.300000000000000711e+00,1.450673146486620158e-01
5.350000000000000533e+00,1.426526620888608210e-01
5.400000000000000355e+00,1.404710546374446090e-01
5.450000000000000178e+00,1.385810173850666738e-01
5.500000000000000000e+00,1.370360008375697825e-01
5.550000000000000711e+00,1.358812312769919206e-01
5.600000000000000533e+00,1.351503984794272251e-01
5.650000000000000355e+00,1.348633606476862534e-01
5.700000000000000178e+00,1.350244916832017694e-01
5.750000000000000000e+00,1.356223451638546296e-01
5.800000000000000711e+00,1.366307685193298982e-01
5.850000000000000533e+00,1.380113731399753019e-01
5.900000000000000355e+00,1.397165437251802755e-01
5.950000000000000178e+00,1.416927380444581441e-01
6.000000000000000000e+00,1.438839563521914777e-01
6.050000000000000711e+00,1.462341101122702769e-01
6.100000000000000533e+00,1.486887274870251630e-01
6.150000000000000355e+00,1.511960548565546292e-01
6.200000000000000178e+00,1.537073375957698496e-01
6.250000000000000000e+00,1.561768779512267280e-01
6.300000000000000711e+00,1.585618024482662036e-01
6.350000000000000533e+00,1.608218803669111685e-01
6.400000000000000355e+00,1.629196780016802792e-01
6.450000000000000178e+00,1.648206322319971662e-01
6.500000000000000000e+00,1.664945094345291476e-01
6.550000000000000711e+00,1.679163627912075574e-01
6.600000000000000533e+00,1.690673365780731296e-01
6.650000000000000355e+00,1.699362170686584406e-01
6.700000000000000178e+00,1.705199247370104976e-01
6.750000000000000000e+00,1.708243378569900273e-01
6.800000000000000711e+00,1.708627406994148445e-01
6.850000000000000533e+00,1.706536551842247340e-01
6.900000000000000355e+00,1.702190421727805547e-01
6.950000000000000178e+00,1.695813621360232337e-01
7.000000000000000000e+00,1.687615996024844633e-01
7.050000000000000711e+00,1.677778339190240386e-01
7.100000000000000533e+00,1.666453939952237673e-01
7.150000000000000355e+00,1.653781945705183887e-01
7.200000000000000178e+00,1.639900672914910984e-01
7.250000000000000000e+00,1.624960730692971145e-01
7.300000000000000711e+00,1.609130869399187647e-01
7.350000000000000533e+00,1.592595464097141533e-01
7.400000000000000355e+00,1.575547124563601020e-01
7.450000000000000178e+00,1.558173068877345968e-01
7.500000000000000000e+00,1.540646722527702073e-01
7.550000000000000711e+00,1.523121665828355564e-01
7.600000000000000533e+00,1.505728274781436837e-01
7.650000000000000355e+00,1.488575005110877036e-01
7.700000000000000178e+00,1.471753615044275598e-01
7.750000000000000000e+00,1.455345714456963424e-01
7.800000000000000711e+00,1.439429655291785959e-01
7.850000000000000533e+00,1.424087898708592259e-01
7.900000000000000355e+00,1.409412140220252518e-01
7.950000000000000178e+00,1.395505679344170857e-01
8.000000000000000000e+00,1.382482891636208633e-01
8.050000000000000711e+00,1.370465760255661636e-01
8.099999999999999645e+00,1.359578481423828478e-01
8.150000000000000355e+00,1.349939395605282699e-01
8.200000000000001066e+00,1.341654615924855465e-01
8.250000000000000000e+00,1.334812746340834078e-01
8.300000000000000711e+00,1.329481372573982079e-01
8.349999999999999645e+00,1.325705033888578410e-01
8.400000000000000355e+00,1.323509168692048321e-01
8.450000000000001066e+00,1.322904430806351728e-01
8.500000000000000000e+00,1.323891261831768584e-01
8.550000000000000711e+00,1.326465584491658967e-01
8.599999999999999645e+00,1.330627280436700588e-01
8.650000000000000355e+00,1.336384055808857996e-01
8.700000000000001066e+00,1.343755461637218818e-01
8.750000000000000000e+00,1.352775367988388877e-01
8.800000000000000711e+00,1.363493092401252271e-01
8.849999999999999645e+00,1.375972172766976864e-01
8.900000000000000355e+00,1.390288653572867017e-01
8.950000000000001066e+00,1.406523044804577904e-01
9.000000000000000000e+00,1.424753980803309394e-01
9.050000000000000711e+00,1.445051879147872254e-01
9.099999999999999645e+00,1.467465134619916067e-01
9.150000000000000355e+00,1.492009669730854915e-01
9.200000000000001066e+00,1.518663093707501299e-01
9.250000000000000000e+00,1.547366827221821894e-01
9.300000000000000711e+00,1.578036845567742930e-01
9.349999999999999645e+00,1.610580384310552615e-01
9.400000000000000355e+00,1.644930841861853565e-01
9.450000000000001066e+00,1.681072157782586285e-01
9.500000000000000000e+00,1.719059287032543848e-01
9.550000000000000711e+00,1.759022823842590066e-01
9.600000000000001421e+00,1.801158250079028522e-01
9.650000000000000355e+00,1.845691623855537644e-01
9.700000000000001066e+00,1.892833887538340198e-01
9.750000000000000000e+00,1.942737783488415193e-01
9.800000000000000711e+00,1.995458635965839667e-01
9.850000000000001421e+00,2.050931578828971980e-01
9.900000000000000355e+00,2.108959532159822015e-01
9.950000000000001066e+00,2.169212586415530108e-01
1.000000000000000000e+01,2.231237163384632571e-01
1.005000000000000071e+01,2.294456858753637363e-01
1.010000000000000142e+01,2.358186924013832009e-01
1.015000000000000036e+01,2.421650230925549152e-01
1.020000000000000107e+01,2.483997555849054018e-01
1.025000000000000000e+01,2.544339779415465408e-01
1.030000000000000071e+01,2.601811650418209831e-01
1.035000000000000142e+01,2.655624657722662763e-01
1.040000000000000036e+01,2.705153371395673245e-01
1.045000000000000107e+01,2.749995673594815004e-01
1.050000000000000000e+01,2.789976389850256644e-01
1.055000000000000071e+01,2.825129926280171011e-01
1.060000000000000142e+01,2.855683753762380817e-01
1.065000000000000036e+01,2.882020622194410020e-01
1.070000000000000107e+01,2.904607940187174386e-01
1.075000000000000000e+01,2.923945999633217885e-01
1.080000000000000071e+01,2.940514395611191212e-01
