t,order
42.4,0.106738
42.45,0.109056
42.5,0.111252
42.55,0.113327
42.6,0.115281
42.65,0.117118
42.7,0.118841
42.75,0.120459
42.8,0.121977
42.85,0.123406
42.9,0.124756
42.95,0.126038
43,0.127266
43.05,0.128454
43.1,0.129615
43.15,0.130764
43.2,0.131916
43.25,0.133083
43.3,0.13428
43.35,0.135518
43.4,0.136807
43.45,0.138155
43.5,0.139568
43.55,0.141048
43.6,0.142593
43.65,0.144201
43.7,0.145861
43.75,0.147563
43.8,0.14929
43.85,0.151024
43.9,0.152743
43.95,0.154422
44,0.156035
44.05,0.157557
44.1,0.158959
44.15,0.160215
44.2,0.161301
44.25,0.162191
44.3,0.162866
44.35,0.163306
44.4,0.163496
44.45,0.163424
44.5,0.163079
44.55,0.162456
44.6,0.161551
44.65,0.160364
44.7,0.158897
44.75,0.157155
44.8,0.155144
44.85,0.152874
44.9,0.150357
44.95,0.147607
45,0.14464
45.05,0.141476
45.1,0.138136
45.15,0.134643
45.2,0.131024
45.25,0.127308
45.3,0.123526
45.35,0.119711
45.4,0.115899
45.45,0.112124
45.5,0.108426
45.55,0.104841
45.6,0.101407
45.65,0.0981611
45.7,0.0951382
45.75,0.0923711
45.8,0.0898896
45.85,0.0877195
45.9,0.085882
45.95,0.0843935
46,0.0832645
46.05,0.0825003
46.1,0.0821001
46.15,0.0820582
46.2,0.0823637
46.25,0.0830014
46.3,0.0839522
46.35,0.0851938
46.4,0.0867013
46.45,0.0884474
46.5,0.0904031
46.55,0.0925379
46.6,0.0948202
46.65,0.0972178
46.7,0.0996981
46.75,0.102229
46.8,0.104779
46.85,0.107316
46.9,0.109813
46.95,0.112242
47,0.114578
47.05,0.116799
47.1,0.118883
47.15,0.120814
47.2,0.122576
47.25,0.124155
47.3,0.12554
47.35,0.126721
47.4,0.127689
47.45,0.128438
47.5,0.128961
47.55,0.129252
47.6,0.12931
47.65,0.129132
47.7,0.128718
47.75,0.12807
47.8,0.127192
47.85,0.126091
47.9,0.124778
47.95,0.123264
48,0.121568
48.05,0.119709
48.1,0.117714
48.15,0.115613
48.2,0.11344
48.25,0.111236
48.3,0.109047
48.35,0.106925
48.4,0.10493
48.45,0.103123
48.5,0.101573
48.55,0.100351
48.6,0.0995248
48.65,0.0991602
48.7,0.0993128
48.75,0.100025
48.8,0.10132
48.85,0.103201
48.9,0.105652
48.95,0.108632
49,0.112087
49.05,0.115948
49.1,0.120135
49.15,0.124565
49.2,0.129153
49.25,0.133815
49.3,0.138471
49.35,0.143045
49.4,0.147468
49.45,0.151678
49.5,0.15562
49.55,0.159246
49.6,0.162515
49.65,0.165393
49.7,0.167854
49.75,0.169879
49.8,0.171452
49.85,0.172567
49.9,0.173222
49.95,0.173418
50,0.173166
