t,order,variance,autocorr
3.200000000000000000e+01,8.998333016237296256e-02,7.566190132323222890e-05,9.901101239194330939e-01
3.205000000000000426e+01,9.254047799919579154e-02,8.963250083038307755e-05,9.916647347802710621e-01
3.210000000000000142e+01,9.501768120340348123e-02,1.054893400416471354e-04,9.929163855440159558e-01
3.214999999999999858e+01,9.738892024851412976e-02,1.232399175755219964e-04,9.939334880091604818e-01
3.220000000000000284e+01,9.962502549796965756e-02,1.428401413442529602e-04,9.947598204741933126e-01
3.225000000000000000e+01,1.016956001866664433e-01,1.641747818921806439e-04,9.954254338222918719e-01
3.230000000000000426e+01,1.035694705534344201e-01,1.870465028737333614e-04,9.959540483452703485e-01
3.235000000000000142e+01,1.052151055031460558e-01,2.111738827492988079e-04,9.963666617161812677e-01
3.239999999999999858e+01,1.066010788633954404e-01,2.361969221010509377e-04,9.966826101840331464e-01
3.245000000000000284e+01,1.076966596774748680e-01,2.616879025214036169e-04,9.969193433993092102e-01
3.250000000000000000e+01,1.084734568246179115e-01,2.871670272890468464e-04,9.970917920217458041e-01
3.255000000000000426e+01,1.089042048122610684e-01,3.121166876701756093e-04,9.972117006880754086e-01
3.260000000000000142e+01,1.089641628319370503e-01,3.359983484009611342e-04,9.972876121740903432e-01
3.264999999999999858e+01,1.086314467316730203e-01,3.582707281443216359e-04,9.973250147216629058e-01
3.270000000000000284e+01,1.078868381888236361e-01,3.784092792314573076e-04,9.973265808836900836e-01
3.275000000000000000e+01,1.067136530274004624e-01,3.959277064603772506e-04,9.972924012874840871e-01
3.280000000000000426e+01,1.050977122750231113e-01,4.104020293665183641e-04,9.972200270048300341e-01
3.285000000000000142e+01,1.030284691165863770e-01,4.214987767389968745e-04,9.971046170859574342e-01
3.289999999999999858e+01,1.004995411352107015e-01,4.290050003388390810e-04,9.969388077594021347e-01
3.295000000000000284e+01,9.750788694266450396e-02,4.328578079718546569e-04,9.967121687184639089e-01
3.300000000000000000e+01,9.405617557358283976e-02,4.331750602744709059e-04,9.964111469609373550e-01
3.305000000000000426e+01,9.015284456272071312e-02,4.302826981316166827e-04,9.960188601591615232e-01
3.310000000000000142e+01,8.581191444752288289e-02,4.247368305133079132e-04,9.955154925427286416e-01
3.314999999999999858e+01,8.105262162841983531e-02,4.173389774924771600e-04,9.948800843533254223e-01
3.320000000000000284e+01,7.589891456134548187e-02,4.091434914766875226e-04,9.940951272950453443e-01
3.325000000000000000e+01,7.037920604261346802e-02,4.014561342448901200e-04,9.931559118807112840e-01
3.330000000000000426e+01,6.452869081502625448e-02,3.958208246118087017e-04,9.920867147249687878e-01
3.335000000000000142e+01,5.838780039527144416e-02,3.939931805563798317e-04,9.909598427201682380e-01
3.339999999999999858e+01,5.200254767822196089e-02,3.978989358614733228e-04,9.899091181837547104e-01
3.345000000000000284e+01,4.542647658607219807e-02,4.095727625119591469e-04,9.891190991718892267e-01
3.350000000000000000e+01,3.872495332073177393e-02,4.310694672589745298e-04,9.887744044916351172e-01
3.355000000000000426e+01,3.198574638826830185e-02,4.643289379440958351e-04,9.889817143004566713e-01
3.360000000000000142e+01,2.534706655856833538e-02,5.109442542079530199e-04,9.897126524316993690e-01
3.364999999999999858e+01,1.908017617076191233e-02,5.716694479823158665e-04,9.908110881012727189e-01
3.370000000000000284e+01,1.385202674318991405e-02,6.451301266792376816e-04,9.920435319271753150e-01
3.375000000000000000e+01,1.130615200072671023e-02,7.248283673108105174e-04,9.930707776943031861e-01
3.380000000000000426e+01,1.310332357151218832e-02,7.993658284867511147e-04,9.934321052356529513e-01
3.385000000000000142e+01,1.792682744088110527e-02,8.618127279353970677e-04,9.932700147869332197e-01
3.389999999999999858e+01,2.393815408700956243e-02,9.109933017372792837e-04,9.929772727693477741e-01
3.395000000000000284e+01,3.035432908142794012e-02,9.479744727593068278e-04,9.926760641478554748e-01
3.400000000000000000e+01,3.687638377357579933e-02,9.744899981337487626e-04,9.923818223404333727e-01
3.405000000000000426e+01,4.337052858023695417e-02,9.924112405035440641e-04,9.920909734492170395e-01
3.410000000000000142e+01,4.976541193116989364e-02,1.003554749371382473e-03,9.918001744220655835e-01
3.414999999999999858e+01,5.601855923356217903e-02,1.009603950110686066e-03,9.915090050615917860e-01
3.420000000000000284e+01,6.210442507819301933e-02,1.012076576294600790e-03,9.912195079971531930e-01
3.425000000000000000e+01,6.800776594294333233e-02,1.012315317646262335e-03,9.909355722292065849e-01
3.430000000000000426e+01,7.371984573213065384e-02,1.011490677700321080e-03,9.906624345356552785e-01
3.435000000000000142e+01,7.923580313044882584e-02,1.010610351414291223e-03,9.904062204981223250e-01
3.439999999999999858e+01,8.455262060034313132e-02,1.010531777541392225e-03,9.901735391341178749e-01
3.445000000000000284e+01,8.966816493220171325e-02,1.011976280788694097e-03,9.899710307063581682e-01
3.450000000000000000e+01,9.457862508452380412e-02,1.015542505569424570e-03,9.898051232791575949e-01
3.455000000000000426e+01,9.927692464306746289e-02,1.021717377066257886e-03,9.896816921356067498e-01
3.460000000000000142e+01,1.037520631449066338e-01,1.030884065479710336e-03,9.896056098735648288e-01
3.464999999999999858e+01,1.079890147343606083e-01,1.043327779494814976e-03,9.895803178420199409e-01
3.470000000000000284e+01,1.119692955624858460e-01,1.059240466911138797e-03,9.896075121977119249e-01
3.475000000000000000e+01,1.156722518499978813e-01,1.078724157588759405e-03,9.896868568819806589e-01
3.480000000000000426e+01,1.190772096600732494e-01,1.101796569569877312e-03,9.898158892937048980e-01
3.485000000000000142e+01,1.221644772906163440e-01,1.128398185896736013e-03,9.899902647319736015e-01
3.489999999999999858e+01,1.249186880692345070e-01,1.158405579521439022e-03,9.902041387953931517e-01
3.495000000000000284e+01,1.273300270759706310e-01,1.191647422031539595e-03,9.904508330225161306e-01
3.500000000000000000e+01,1.293946424714322585e-01,1.227919242850582801e-03,9.907235131223659508e-01
3.505000000000000426e+01,1.311145611776734221e-01,1.266998300560174488e-03,9.910157748617257623e-01
3.510000000000000142e+01,1.324972583439647522e-01,1.308653122804744788e-03,9.913220212891121763e-01
3.514999999999999858e+01,1.335555848229663112e-01,1.352648766252404974e-03,9.916376618837985379e-01
3.520000000000000284e+01,1.343059416294710151e-01,1.398743756152542525e-03,9.919591416906980985e-01
3.525000000000000000e+01,1.347671300371467706e-01,1.446679597566035043e-03,9.922838228699957241e-01
3.530000000000000426e+01,1.349593118477811771e-01,1.496162944651872016e-03,9.926097460680433082e-01
3.535000000000000142e+01,1.349030835653165505e-01,1.546839938958571208e-03,9.929353834256778866e-01
3.539999999999999858e+01,1.346188199505011784e-01,1.598265346098955240e-03,9.932594959642839783e-01
3.545000000000000284e+01,1.341263110169411410e-01,1.649869713238108536e-03,9.935808965399834936e-01
3.550000000000000000e+01,1.334449676279561570e-01,1.700924756672281832e-03,9.938984014489904428e-01
3.555000000000000426e+01,1.325939976209667137e-01,1.750511472276689929e-03,9.942108781816074714e-01
3.560000000000000142e+01,1.315924115770849556e-01,1.797492563982533778e-03,9.945173663336969172e-01
3.564999999999999858e+01,1.304590630394919237e-01,1.840490862481202741e-03,9.948172631672486110e-01
3.570000000000000284e+01,1.292125333246514907e-01,1.877874620422865289e-03,9.951105403327208387e-01
3.575000000000000000e+01,1.278709256386646453e-01,1.907750549017118167e-03,9.953978389782076608e-01
3.580000000000000426e+01,1.264515841235698823e-01,1.927967953906118206e-03,9.956809351635624861e-01
3.585000000000000142e+01,1.249707617892605593e-01,1.936134795168120530e-03,9.959632647176472897e-01
3.589999999999999858e+01,1.234426425957107082e-01,1.929646603124852066e-03,9.962506412243188336e-01
3.595000000000000284e+01,1.218793252388008230e-01,1.905734829206243673e-03,9.965523995173051208e-01
3.600000000000000000e+01,1.202910910084581120e-01,1.861544928144235863e-03,9.968829634900696623e-01
3.605000000000000426e+01,1.186864138300305349e-01,1.794269360410599180e-03,9.972629854078918221e-01
3.610000000000000142e+01,1.170721293979533478e-01,1.701408584517620677e-03,9.977143999510919015e-01
3.614999999999999858e+01,1.154538055767792004e-01,1.581392049156074651e-03,9.982216995328223597e-01
3.620000000000000284e+01,1.138363808893744500e-01,1.435336889709787562e-03,9.986083729519500407e-01
3.625000000000000000e+01,1.122257646808681175e-01,1.271416033820915508e-03,9.986568357449171485e-01
3.630000000000000426e+01,1.106289811113494170e-01,1.105657339960501064e-03,9.984817886111759799e-01
3.635000000000000142e+01,1.090552035712751555e-01,9.498178849980078641e-04,9.981826755510594396e-01
3.639999999999999858e+01,1.075161701840040840e-01,8.085254310761834720e-04,9.977674312907356402e-01
3.645000000000000284e+01,1.060260922091954688e-01,6.832339032513926221e-04,9.972138198153770450e-01
3.650000000000000000e+01,1.046013690020746456e-01,5.741197604581645348e-04,9.964877611180438244e-01
3.655000000000000426e+01,1.032601314227229172e-01,4.807444786496716731e-04,9.955518036264280335e-01
3.660000000000000142e+01,1.020216951707507008e-01,4.023154884575903334e-04,9.943778256673623250e-01
3.664999999999999858e+01,1.009060288328604421e-01,3.378139585270999363e-04,9.929704859450498855e-01
3.670000000000000284e+01,9.993243603267525088e-02,2.860727508357274219e-04,9.914022711482454175e-01
3.675000000000000000e+01,9.911841080544440963e-02,2.458283135412344441e-04,9.898469607791424707e-01
3.680000000000000426e+01,9.847854770350612796e-02,2.157590187914439788e-04,9.885766529347355114e-01
3.685000000000000142e+01,9.802345763019043590e-02,1.945159082866315659e-04,9.878842476052936972e-01
3.689999999999999858e+01,9.775883876193260102e-02,1.807491024957313985e-04,9.879467335779311687e-01
3.695000000000000284e+01,9.768488997906198124e-02,1.731323636907429356e-04,9.887243122429284492e-01
3.700000000000000000e+01,9.779635919269596966e-02,1.703838999800194620e-04,9.899868240377331929e-01
3.705000000000000426e+01,9.808249994946026395e-02,1.712860271450180173e-04,9.914413086404549880e-01
3.710000000000000142e+01,9.852911123732450982e-02,1.747032990588937625e-04,9.928515030128652885e-01
3.714999999999999858e+01,9.912024671109931351e-02,1.795995806396210052e-04,9.940832332854262487e-01
3.720000000000000284e+01,9.983960149883207291e-02,1.850541739159399250e-04,9.950893949692931617e-01
3.725000000000000000e+01,1.006717586777772649e-01,1.902763695023507737e-04,9.958750979434870532e-01
3.730000000000000426e+01,1.016031870685736860e-01,1.946172206934487152e-04,9.964677099945289385e-01
3.735000000000000142e+01,1.026226788373655746e-01,1.975773318044538084e-04,9.968997941344227565e-01
3.739999999999999858e+01,1.037213689398844702e-01,1.988093669445770866e-04,9.972006281376706305e-01
3.745000000000000284e+01,1.048918516567040327e-01,1.981144921652335021e-04,9.973932116367953959e-01
3.750000000000000000e+01,1.061267325843342491e-01,1.954330801306095695e-04,9.974939489034142515e-01
3.755000000000000426e+01,1.074183265331883907e-01,1.908299280520879765e-04,9.975131380592006103e-01
3.760000000000000142e+01,1.087587260264886169e-01,1.844753003071222396e-04,9.974557596712178009e-01
3.764999999999999858e+01,1.101403174835490911e-01,1.766229340363937791e-04,9.973217581453835967e-01
3.770000000000000284e+01,1.115566117818328207e-01,1.675880088342415340e-04,9.971063012508479817e-01
3.775000000000000000e+01,1.130024145907327360e-01,1.577264878549008325e-04,9.968001482209928321e-01
3.780000000000000426e+01,1.144767164452358127e-01,1.474170792070880471e-04,9.963895728397671459e-01
3.785000000000000142e+01,1.159835358397293542e-01,1.370473131668755199e-04,9.958573875513193618e-01
3.789999999999999858e+01,1.175311714271836117e-01,1.270037349434692997e-04,9.951863064191677211e-01
3.795000000000000284e+01,1.191306851119023069e-01,1.176653332152718143e-04,9.943664851299113261e-01
3.800000000000000000e+01,1.207940043347885267e-01,1.093986894942205736e-04,9.934091081773102072e-01
3.805000000000000426e+01,1.225311629250610129e-01,1.025534547069278371e-04,9.923662120472233061e-01
3.810000000000000142e+01,1.243470712111973964e-01,9.745665576959983297e-05,9.913498541287864008e-01
3.814999999999999858e+01,1.262396065379090271e-01,9.440502447501637555e-05,9.905319265958181241e-01
3.820000000000000284e+01,1.281980919792104767e-01,9.365478301937261595e-05,9.901037714967315662e-01
3.825000000000000000e+01,1.302028422756248693e-01,9.540907704722864429e-05,9.901972351838332909e-01
3.830000000000000426e+01,1.322263279353278753e-01,9.980444983169150359e-05,9.908130352521897777e-01
3.835000000000000142e+01,1.342348922025249636e-01,1.068977773999490511e-04,9.918161625753875166e-01
3.840000000000000568e+01,1.361911939640723102e-01,1.166559666695146988e-04,9.930034590786387394e-01
3.845000000000000284e+01,1.380571398596108224e-01,1.289497657684279721e-04,9.941885145964221016e-01
3.850000000000000000e+01,1.397957473464558342e-01,1.435519588496487770e-04,9.952503773469971726e-01
3.855000000000000426e+01,1.413727374133675052e-01,1.601406866880677310e-04,9.961367002129634107e-01
3.860000000000000142e+01,1.427583319155465713e-01,1.783085044196673998e-04,9.968430148726961093e-01
3.865000000000000568e+01,1.439283308880551226e-01,1.975763020962296578e-04,9.973894727753489509e-01
3.870000000000000284e+01,1.448643453414392712e-01,2.174105782073449528e-04,9.978042393186307146e-01
3.875000000000000000e+01,1.455540453744357809e-01,2.372435012588210634e-04,9.981149208847691634e-01
3.880000000000000426e+01,1.459907942505237199e-01,2.564945134069855051e-04,9.983448540850377029e-01
3.885000000000000142e+01,1.461731492910882946e-01,2.745925113736717499e-04,9.985123001223732420e-01
3.890000000000000568e+01,1.461047340883720735e-01,2.909984096964971000e-04,9.986309368574431966e-01
3.895000000000000284e+01,1.457936331935353880e-01,3.052265682844843789e-04,9.987106393240243740e-01
3.900000000000000000e+01,1.452522321600878963e-01,3.168646407519455145e-04,9.987583115945860568e-01
3.905000000000000426e+01,1.444968511676544554e-01,3.255905765021643709e-04,9.987785509282275376e-01
3.910000000000000142e+01,1.435472371124696112e-01,3.311857301476204868e-04,9.987741302140166200e-01
3.915000000000000568e+01,1.424261656824170053e-01,3.335435351669797433e-04,9.987464446632793313e-01
3.920000000000000284e+01,1.411594276759987332e-01,3.326728852835988720e-04,9.986958759356152626e-01
3.925000000000000000e+01,1.397753348361841508e-01,3.286952406999336680e-04,9.986220304886103127e-01
3.930000000000000426e+01,1.383047473379067915e-01,3.218357101963729267e-04,9.985240296239809021e-01
3.935000000000000142e+01,1.367807693873638319e-01,3.124079399533473671e-04,9.984007625509211392e-01
3.940000000000000568e+01,1.352383891196056176e-01,3.007935473288592555e-04,9.982511467553263351e-01
3.945000000000000284e+01,1.337140589205926822e-01,2.874175312854890078e-04,9.980743788475022749e-01
3.950000000000000000e+01,1.322452165399947699e-01,2.727218600454974049e-04,9.978702311137737091e-01
3.955000000000000426e+01,1.308698299699480871e-01,2.571389189066630178e-04,9.976391710955320180e-01
3.960000000000000142e+01,1.296249006373498547e-01,2.410688367815128855e-04,9.973822903279676577e-01
3.965000000000000568e+01,1.285451785339714326e-01,2.248623821287136168e-04,9.971011288603615075e-01
3.970000000000000284e+01,1.276619986251672223e-01,2.088102968176705140e-04,9.967972960506826796e-01
3.975000000000000000e+01,1.270022454969098602e-01,1.931394075865075900e-04,9.964718576696051100e-01
3.980000000000000426e+01,1.265875107372146924e-01,1.780150611767427715e-04,9.961245303139030227e-01
3.985000000000000142e+01,1.264329796009098228e-01,1.635485871601801637e-04,9.957526847874432763e-01
3.990000000000000568e+01,1.265474714155692959e-01,1.498081179143178493e-04,9.953504666801585854e-01
3.995000000000000284e+01,1.269343246390305380e-01,1.368303095961753864e-04,9.949079531600689696e-01
4.000000000000000000e+01,1.275922627090375350e-01,1.246312226229497175e-04,9.944101322460366932e-01
4.005000000000000426e+01,1.285164114812630265e-01,1.132167128721798199e-04,9.938357928603196445e-01
4.010000000000000142e+01,1.296993993744413876e-01,1.025920667807577998e-04,9.931563635591890149e-01
4.015000000000000568e+01,1.311328072578834825e-01,9.277089494503381901e-05,9.923348543745690309e-01
4.020000000000000284e+01,1.328078673519392516e-01,8.378347175311207302e-05,9.913257024714275945e-01
4.025000000000000000e+01,1.347160207336357551e-01,7.568387553117634039e-05,9.900775034844526701e-01
4.030000000000000426e+01,1.368490170345207924e-01,6.855812341559050819e-05,9.885432428496570001e-01
4.035000000000000142e+01,1.391987564852460169e-01,6.253118223689170269e-05,9.867053680298196738e-01
4.040000000000000568e+01,1.417570708850183214e-01,5.777154219748084152e-05,9.846233942907094416e-01
4.045000000000000284e+01,1.445154104019808483e-01,5.449294601489470895e-05,9.824994236024595651e-01
4.050000000000000000e+01,1.474645761966006940e-01,5.295328914304561963e-05,9.807184872506888862e-01
4.055000000000000426e+01,1.505946873122881446e-01,5.345066114640135047e-05,9.797757945907453747e-01
4.060000000000000142e+01,1.538952901687606623e-01,5.631709257399626232e-05,9.800465117973534701e-01
4.065000000000000568e+01,1.573556533786987788e-01,6.191178477106217795e-05,9.815364297974390473e-01
4.070000000000000284e+01,1.609652443495701579e-01,7.061503912888585533e-05,9.838599370398055655e-01
4.075000000000000000e+01,1.647142163017988881e-01,8.282420211386051106e-05,9.864781370230307767e-01
4.080000000000000426e+01,1.685939353428393961e-01,9.895267780481918586e-05,9.889605890554122869e-01
4.085000000000000142e+01,1.725972157609937385e-01,1.194316205960613454e-04,9.910857340447523089e-01
4.090000000000000568e+01,1.767182067238470822e-01,1.447131692384676224e-04,9.928017121276312418e-01
4.095000000000000284e+01,1.809520072353174025e-01,1.752734402887658281e-04,9.941473219374398207e-01
4.100000000000000000e+01,1.852938416014218714e-01,2.116126553853312029e-04,9.951922468152814005e-01
4.105000000000000426e+01,1.897378855599738678e-01,2.542500595210689276e-04,9.960060207069537652e-01
4.110000000000000142e+01,1.942760000567831935e-01,3.037118614399510761e-04,9.966463814068553528e-01
4.115000000000000568e+01,1.988963614199427965e-01,3.605107058635084608e-04,9.971573247423662911e-01
4.120000000000000284e+01,2.035820999721642266e-01,4.251159506728957637e-04,9.975709251717437276e-01
4.125000000000000000e+01,2.083103978702426640e-01,4.979157009948262380e-04,9.979100755728327332e-01
4.130000000000000426e+01,2.130519353893532697e-01,5.791721216882108085e-04,9.981910281571004795e-01
4.135000000000000142e+01,2.177708577185283323e-01,6.689727373696786536e-04,9.984253923039365652e-01
4.140000000000000568e+01,2.224252385189062764e-01,7.671812536069209714e-04,9.986216090277678648e-01
4.145000000000000284e+01,2.269681508661464120e-01,8.733923410886298500e-04,9.987859713644930970e-01
4.150000000000000000e+01,2.313494755843837347e-01,9.868959472403523482e-04,9.989233321592336790e-01
4.155000000000000426e+01,2.355175651260594805e-01,1.106654238872702102e-03,9.990375563951234827e-01
4.160000000000000142e+01,2.394212609715956619e-01,1.231295208960503504e-03,9.991318149531992487e-01
