t,order
8.900000000000000355e+00,2.937895888465580363e-01
8.950000000000001066e+00,2.965252717693653839e-01
9.000000000000000000e+00,2.990317744488680818e-01
9.050000000000000711e+00,3.011363372967618135e-01
9.099999999999999645e+00,3.027136576278329771e-01
9.150000000000000355e+00,3.037528626456994507e-01
9.200000000000001066e+00,3.043559246906343274e-01
9.250000000000000000e+00,3.046828045596137735e-01
9.300000000000000711e+00,3.048963374956698558e-01
9.349999999999999645e+00,3.051343107414976052e-01
9.400000000000000355e+00,3.055054702003193179e-01
9.450000000000001066e+00,3.060970907225338267e-01
9.500000000000000000e+00,3.069848048563103560e-01
9.550000000000000711e+00,3.082394317922967919e-01
9.600000000000001421e+00,3.099328089575436040e-01
9.650000000000000355e+00,3.121517928674476527e-01
9.700000000000001066e+00,3.150198060874594974e-01
9.750000000000000000e+00,3.186587605438209736e-01
9.800000000000000711e+00,3.230918542917733394e-01
9.850000000000001421e+00,3.289626626500840034e-01
9.900000000000000355e+00,3.372923173779586725e-01
9.950000000000001066e+00,3.427322811830729177e-01
1.000000000000000000e+01,3.494894087375950420e-01
1.005000000000000071e+01,3.571524036514182043e-01
1.010000000000000142e+01,3.623069220785841149e-01
1.015000000000000036e+01,3.658187558276796425e-01
1.020000000000000107e+01,3.683738263770627297e-01
1.025000000000000000e+01,3.701282972426249707e-01
1.030000000000000071e+01,3.711754307518034812e-01
1.035000000000000142e+01,3.716306059504890791e-01
1.040000000000000036e+01,3.716214466952854623e-01
1.045000000000000107e+01,3.712826826372155331e-01
1.050000000000000000e+01,3.707653681170062776e-01
1.055000000000000071e+01,3.702348583313133656e-01
1.060000000000000142e+01,3.698322550258099639e-01
1.065000000000000036e+01,3.696384589921216657e-01
1.070000000000000107e+01,3.696999290930074178e-01
1.075000000000000000e+01,3.700066115323464855e-01
1.080000000000000071e+01,3.703573419151833801e-01
1.085000000000000142e+01,3.704001214128453401e-01
1.090000000000000036e+01,3.698502431818933567e-01
1.095000000000000107e+01,3.685074046546555349e-01
1.100000000000000000e+01,3.663732280313004019e-01
1.105000000000000071e+01,3.643218488137056066e-01
1.110000000000000142e+01,3.632977455342626949e-01
1.115000000000000036e+01,3.610585702155483800e-01
1.120000000000000107e+01,3.568760887310957197e-01
1.125000000000000000e+01,3.513674351083496128e-01
1.130000000000000071e+01,3.450584315435623051e-01
1.135000000000000142e+01,3.382810381478830730e-01
1.140000000000000036e+01,3.312392114642899177e-01
1.145000000000000107e+01,3.240658039130816515e-01
1.150000000000000000e+01,3.168551120537770882e-01
1.155000000000000071e+01,3.096788592928368944e-01
1.160000000000000142e+01,3.025944554931970232e-01
1.165000000000000036e+01,2.956501878877890177e-01
1.170000000000000107e+01,2.888901146500224559e-01
1.175000000000000000e+01,2.823605457238196337e-01
1.180000000000000071e+01,2.761189799783775878e-01
1.185000000000000142e+01,2.702478543658274335e-01
1.190000000000000036e+01,2.648741123007936626e-01
1.195000000000000107e+01,2.601811247105488278e-01
1.200000000000000000e+01,2.563494727417128805e-01
1.205000000000000071e+01,2.533601661445841757e-01
1.210000000000000142e+01,2.508974012563175426e-01
1.215000000000000036e+01,2.486168870845176515e-01
1.220000000000000107e+01,2.463554912934753371e-01
1.225000000000000000e+01,2.440718193662970992e-01
1.230000000000000071e+01,2.417777196328455280e-01
1.235000000000000142e+01,2.395535842722551489e-01
1.240000000000000036e+01,2.376028928058541434e-01
