t,order
7.100000000000000533e+00,9.102077362935638571e-02
7.150000000000000355e+00,9.469807068211012757e-02
7.200000000000000178e+00,9.842370449829232482e-02
7.250000000000000000e+00,1.022150682852380338e-01
7.300000000000000711e+00,1.060886633089237197e-01
7.350000000000000533e+00,1.100585061786324148e-01
7.400000000000000355e+00,1.141349221082648135e-01
7.450000000000000178e+00,1.183236474407880212e-01
7.500000000000000000e+00,1.226251599666416670e-01
7.550000000000000711e+00,1.270334487015354896e-01
7.600000000000000533e+00,1.315361369417731296e-01
7.650000000000000355e+00,1.361146366022767951e-01
7.700000000000000178e+00,1.407443751437849611e-01
7.750000000000000000e+00,1.453953769094783466e-01
7.800000000000000711e+00,1.500330447648893784e-01
7.850000000000000533e+00,1.546190884308936697e-01
7.900000000000000355e+00,1.591126777497161859e-01
7.950000000000000178e+00,1.634710354413694000e-01
8.000000000000000000e+00,1.676506052770148913e-01
8.050000000000000711e+00,1.716089595499689646e-01
8.099999999999999645e+00,1.753058035478339549e-01
8.150000000000000355e+00,1.787039762479797345e-01
8.200000000000001066e+00,1.817704588537274457e-01
8.250000000000000000e+00,1.844776724807575541e-01
8.300000000000000711e+00,1.868054910038832728e-01
8.349999999999999645e+00,1.887407109541694716e-01
8.400000000000000355e+00,1.902798085648916282e-01
8.450000000000001066e+00,1.914293089513029178e-01
8.500000000000000000e+00,1.922055881246466369e-01
8.550000000000000711e+00,1.926344184771972556e-01
8.599999999999999645e+00,1.927502620029448444e-01
8.650000000000000355e+00,1.925959125419935691e-01
8.700000000000001066e+00,1.922218457356452137e-01
8.750000000000000000e+00,1.916833593178657313e-01
8.800000000000000711e+00,1.910383883289846207e-01
8.849999999999999645e+00,1.903452728143329442e-01
8.900000000000000355e+00,1.896604455475133233e-01
8.950000000000001066e+00,1.890361273892857130e-01
9.000000000000000000e+00,1.885177621059829223e-01
9.050000000000000711e+00,1.881415075723378572e-01
9.099999999999999645e+00,1.879331263741458591e-01
9.150000000000000355e+00,1.879066382850731187e-01
