kind,lag,mean_corr,vol
ordinary peak,-5,0.18317282839125856,0.0028365011666195514
ordinary peak,0,0.1664604783687668,0.0025221471505381854
ordinary peak,5,0.16227786730096466,0.0026630156257711336
ordinary peak,10,0.14553475358663076,0.002580535384049909
ordinary peak,15,0.16466233666295366,0.0026375621792767987
ordinary peak,20,0.20711118550452065,0.003494123296556369
ordinary peak,25,0.19507040522162256,0.0033718880550698063
ordinary peak,30,0.21820061929669327,0.0033753509984865847
ordinary peak,35,0.20599176770756883,0.0033097634952461517
ordinary peak,40,0.18369432944506514,0.0032662948241194314
ordinary peak,45,0.15999520856502294,0.0032226039547422294
ordinary peak,50,0.16816134952284584,0.003362938229332116
ordinary peak,55,0.2349681341727997,0.004902680596672076
ordinary peak,60,0.34276572669420674,0.006288970303937955
ordinary peak,-60,0.1921757779985717,0.002547329832011152
ordinary peak,-55,0.1996287743558551,0.0025278263666133416
ordinary peak,-50,0.2025518362055689,0.0024918036617068086
ordinary peak,-45,0.19539674611611654,0.0025703096721040324
ordinary peak,-40,0.205703723031532,0.002674939038873945
ordinary peak,-35,0.21128729167931753,0.0026180202319652374
ordinary peak,-30,0.2041440594782779,0.002533114077684267
ordinary peak,-25,0.20566305277783195,0.002597578905461198
ordinary peak,-20,0.182632261700732,0.002430276136794885
ordinary peak,-15,0.19152825085176325,0.0024323293259907574
ordinary peak,-10,0.2060048860272151,0.002372559674258138
ordinary peak,-5,0.18270523704386482,0.002176470564725472
ordinary peak,0,0.1835352701875039,0.0021889514732809493
ordinary peak,5,0.18313523630159853,0.002184659050367265
ordinary peak,10,0.1713234419118351,0.0021950758637967497
ordinary peak,15,0.17194914062290792,0.002133526156530323
ordinary peak,20,0.16498756294368322,0.0019876925617046074
ordinary peak,25,0.15372286186155337,0.001972314507078568
ordinary peak,30,0.18029985786531155,0.002134749195416116
ordinary peak,35,0.18055430738473296,0.0022647616835815656
ordinary peak,40,0.2067884292433432,0.0022609718254674063
ordinary peak,45,0.19696818212012948,0.0022831031388215843
ordinary peak,50,0.16616163603707138,0.0020703017112183022
ordinary peak,55,0.17380916883975983,0.0020569280187484116
ordinary peak,60,0.163209875799514,0.002145211322912705
ordinary peak,-60,0.2756857782904909,0.0036943387499474376
ordinary peak,-55,0.27283355746372917,0.0037733836848817103
ordinary peak,-50,0.27043503420853704,0.003741852418362198
ordinary peak,-45,0.25270940416789006,0.003478460955611657
ordinary peak,-40,0.2454588909730358,0.002910544168999457
ordinary peak,-35,0.18634303739465985,0.0027753645784520716
ordinary peak,-30,0.20023183993312005,0.003024565861817862
ordinary peak,-25,0.15664010783657034,0.003076120611549376
ordinary peak,-20,0.14585681390184915,0.0030757360377824264
ordinary peak,-15,0.1097244336257295,0.002498369326999961
ordinary peak,-10,0.12793146679693893,0.002609445531325528
ordinary peak,-5,0.1126610946127965,0.0025533739324016713
ordinary peak,0,0.10739943606849153,0.0026283716494673185
ordinary peak,5,0.105063322325965,0.0027043763075513044
ordinary peak,10,0.11365495443475136,0.0027497184271287776
ordinary peak,15,0.10767402314375042,0.0027812217850939533
ordinary peak,20,0.09887440781333821,0.0027215999338519674
ordinary peak,25,0.10173973822027557,0.002729210779400371
ordinary peak,30,0.09078550600233123,0.0025320534990754917
ordinary peak,35,0.11158833412365296,0.002440234488174192
ordinary peak,40,0.11914701737983166,0.0023749895472384304
ordinary peak,45,0.11754954980468188,0.0023268282937600623
ordinary peak,50,0.10201076409599082,0.0022286915079729654
ordinary peak,55,0.11817626539755412,0.0023691118758213782
ordinary peak,60,0.13164803909894812,0.0023798362834682187
ordinary peak,-60,0.23823302018354298,0.004172359657050299
ordinary peak,-55,0.1835969630303488,0.0035634911073151245
ordinary peak,-50,0.18006947574427284,0.003575380028108881
ordinary peak,-45,0.170810006412929,0.0035181744883831492
ordinary peak,-40,0.16931032028380172,0.0035078672990417007
ordinary peak,-35,0.17897393502872752,0.0034897408734818267
ordinary peak,-30,0.17113634144372689,0.003190485317440792
ordinary peak,-25,0.1818910452320949,0.003336560892751544
ordinary peak,-20,0.21175122297021257,0.0035940850991469644
ordinary peak,-15,0.2269115969826047,0.0026831727098174333
ordinary peak,-10,0.2658059965333967,0.002945337040691575
ordinary peak,-5,0.32126003723240976,0.0032858898854823035
ordinary peak,0,0.3380242911092959,0.0032281702916390864
ordinary peak,5,0.3394556377694283,0.003278549349610921
ordinary peak,10,0.3686779572393338,0.003260291382982174
