market,n_events,indicator,null,auc_level,auc_trend
fr_cac40,16,cssd,peak,0.600095785440613,0.6188936781609196
fr_cac40,16,flicker,all,0.5818181818181818,0.5977272727272728
fr_cac40,16,flicker,volmatched,0.5818181818181818,0.5977272727272728
fr_cac40,16,flicker,peak,0.5227490421455938,0.5246647509578544
hk_hsi,21,var_index,all,0.5446009389671361,0.5305164319248827
hk_hsi,21,var_index,volmatched,0.5174129353233831,0.5117270788912581
hk_hsi,21,var_index,peak,0.7092198581560283,0.6460233029381965
hk_hsi,21,ac1_index,all,0.6398390342052315,0.5915492957746479
hk_hsi,21,ac1_index,volmatched,0.6297085998578537,0.5810234541577824
hk_hsi,21,ac1_index,peak,0.5385005065856129,0.46757852077001016
hk_hsi,21,mean_corr,all,0.5103957075788061,0.5868544600938967
hk_hsi,21,mean_corr,volmatched,0.4818763326226012,0.5650319829424307
hk_hsi,21,mean_corr,peak,0.6266464032421479,0.5495187436676798
hk_hsi,21,absorption,all,0.5124077800134137,0.5831656606304494
hk_hsi,21,absorption,volmatched,0.4861407249466951,0.5611229566453447
hk_hsi,21,absorption,peak,0.6225937183383992,0.5702887537993921
hk_hsi,21,cssd,all,0.6673373574782026,0.5865191146881288
hk_hsi,21,cssd,volmatched,0.658137882018479,0.5895522388059701
hk_hsi,21,cssd,peak,0.6788247213779129,0.6190476190476191
hk_hsi,21,flicker,all,0.49496981891348085,0.5881958417169685
hk_hsi,21,flicker,volmatched,0.47121535181236673,0.5707178393745559
hk_hsi,21,flicker,peak,0.6142350557244175,0.5711752786220872
in_nifty50,8,var_index,all,0.7012987012987013,0.6444805194805194
in_nifty50,8,var_index,volmatched,0.7831632653061225,0.7091836734693877
in_nifty50,8,var_index,peak,0.5706018518518519,0.5813078703703703
in_nifty50,8,ac1_index,all,0.474025974025974,0.4967532467532467
in_nifty50,8,ac1_index,volmatched,0.451530612244898,0.5357142857142857
in_nifty50,8,ac1_index,peak,0.3935185185185185,0.45775462962962965
in_nifty50,8,mean_corr,all,0.6964285714285714,0.6688311688311688
in_nifty50,8,mean_corr,volmatched,0.7423469387755102,0.7142857142857142
in_nifty50,8,mean_corr,peak,0.6342592592592593,0.6006944444444444
in_nifty50,8,absorption,all,0.6753246753246753,0.6493506493506493
in_nifty50,8,absorption,volmatched,0.7168367346938775,0.6811224489795918
in_nifty50,8,absorption,peak,0.6244212962962963,0.5610532407407407
in_nifty50,8,cssd,all,0.7142857142857143,0.6274350649350648
in_nifty50,8,cssd,volmatched,0.8112244897959184,0.6122448979591837
in_nifty50,8,cssd,peak,0.6168981481481481,0.5908564814814815
in_nifty50,8,flicker,all,0.7142857142857143,0.6915584415584415
in_nifty50,8,flicker,volmatched,0.7806122448979592,0.7397959183673469
in_nifty50,8,flicker,peak,0.6545138888888888,0.6423611111111112
it_ftsemib,20,var_index,all,0.797887323943662,0.864788732394366
it_ftsemib,20,var_index,volmatched,0.7531914893617022,0.823404255319149
it_ftsemib,20,var_index,peak,0.6782520325203253,0.697459349593496
it_ftsemib,20,ac1_index,all,0.3535211267605634,0.3570422535211268
it_ftsemib,20,ac1_index,volmatched,0.3978723404255319,0.32659574468085106
it_ftsemib,20,ac1_index,peak,0.4058943089430895,0.456910569105691
it_ftsemib,20,mean_corr,all,0.7915492957746479,0.7267605633802818
it_ftsemib,20,mean_corr,volmatched,0.8,0.7515957446808511
it_ftsemib,20,mean_corr,peak,0.6491869918699187,0.64369918699187
it_ftsemib,20,absorption,all,0.8190140845070422,0.748943661971831
it_ftsemib,20,absorption,volmatched,0.8074468085106383,0.8037234042553191
it_ftsemib,20,absorption,peak,0.6658536585365854,0.6739837398373983
it_ftsemib,20,cssd,all,0.5943661971830986,0.6880281690140845
it_ftsemib,20,cssd,volmatched,0.5361702127659574,0.6765957446808512
it_ftsemib,20,cssd,peak,0.5934959349593496,0.6377032520325203
it_ftsemib,20,flicker,all,0.7795774647887324,0.7098591549295774
it_ftsemib,20,flicker,volmatched,0.8170212765957446,0.7893617021276598
it_ftsemib,20,flicker,peak,0.6483739837398375,0.6028455284552845
jp_largecap,22,var_index,all,0.5,0.6136363636363636
jp_largecap,22,var_index,volmatched,0.5,0.6136363636363636
jp_largecap,22,var_index,peak,0.5659444182760246,0.552284503061705
jp_largecap,22,ac1_index,all,1.0,0.7840909090909091
jp_largecap,22,ac1_index,volmatched,1.0,0.7840909090909091
jp_largecap,22,ac1_index,peak,0.3836552048987281,0.4692651907677814
jp_largecap,22,mean_corr,all,0.45454545454545453,0.8181818181818182
jp_largecap,22,mean_corr,volmatched,0.45454545454545453,0.8181818181818182
jp_largecap,22,mean_corr,peak,0.4851625058878945,0.4603155911446067
jp_largecap,22,absorption,all,0.36363636363636365,0.8181818181818182
jp_largecap,22,absorption,volmatched,0.36363636363636365,0.8181818181818182
jp_largecap,22,absorption,peak,0.45077720207253885,0.43346679227508245
jp_largecap,22,cssd,all,0.5454545454545454,0.5
jp_largecap,22,cssd,volmatched,0.5454545454545454,0.5
jp_largecap,22,cssd,peak,0.47880357983984917,0.5757183231276496
jp_largecap,22,flicker,all,0.6363636363636364,1.0
jp_largecap,22,flicker,volmatched,0.6363636363636364,1.0
jp_largecap,22,flicker,peak,0.467263306641545,0.5007065473386718
kr_kospi200,18,var_index,all,0.5426900584795321,0.5818713450292398
kr_kospi200,18,var_index,volmatched,0.4279513888888889,0.5043402777777778
kr_kospi200,18,var_index,peak,0.5772128060263655,0.6184086629001884
kr_kospi200,18,ac1_index,all,0.5052631578947369,0.44327485380116965
kr_kospi200,18,ac1_index,volmatched,0.4383680555555556,0.3736979166666667
kr_kospi200,18,ac1_index,peak,0.3912429378531074,0.38335687382297556
kr_kospi200,18,mean_corr,all,0.5011695906432748,0.6502923976608188
kr_kospi200,18,mean_corr,volmatched,0.390625,0.5720486111111112
kr_kospi200,18,mean_corr,peak,0.47363465160075335,0.5898069679849339
kr_kospi200,18,absorption,all,0.5192982456140351,0.6660818713450293
kr_kospi200,18,absorption,volmatched,0.40625,0.6024305555555556
kr_kospi200,18,absorption,peak,0.49529190207156315,0.5912193973634652
kr_kospi200,18,cssd,all,0.49239766081871345,0.5809941520467836
kr_kospi200,18,cssd,volmatched,0.4453125,0.4978298611111111
kr_kospi200,18,cssd,peak,0.532015065913371,0.5341337099811675
kr_kospi200,18,flicker,all,0.5426900584795322,0.6368421052631579
kr_kospi200,18,flicker,volmatched,0.4418402777777778,0.5607638888888888
kr_kospi200,18,flicker,peak,0.5317796610169492,0.6221751412429378
nl_aex,15,var_index,all,0.7296551724137931,0.6995402298850576
nl_aex,15,var_index,volmatched,0.7306010928961747,0.6909836065573771
nl_aex,15,var_index,peak,0.6374558303886926,0.6207302709069494
nl_aex,15,ac1_index,all,0.5471264367816091,0.5351724137931035
nl_aex,15,ac1_index,volmatched,0.5781420765027323,0.5726775956284152
nl_aex,15,ac1_index,peak,0.566077738515901,0.4954063604240283
nl_aex,15,mean_corr,all,0.7743055555555556,0.7282986111111112
nl_aex,15,mean_corr,volmatched,0.8018018018018018,0.7607607607607607
nl_aex,15,mean_corr,peak,0.6918947933440687,0.6401869158878505
nl_aex,15,absorption,all,0.7413194444444444,0.7061631944444444
nl_aex,15,absorption,volmatched,0.7637637637637636,0.7417417417417417
nl_aex,15,absorption,peak,0.6682769726247987,0.6272066458982347
nl_aex,15,cssd,all,0.5572916666666666,0.62109375
nl_aex,15,cssd,volmatched,0.5455455455455456,0.6156156156156156
nl_aex,15,cssd,peak,0.5287171229200215,0.6399273104880581
nl_aex,15,flicker,all,0.7890625,0.7404513888888888
nl_aex,15,flicker,volmatched,0.8078078078078078,0.7507507507507507
nl_aex,15,flicker,peak,0.7069243156199678,0.6671858774662514
se_omx30,11,var_index,all,0.8479623824451412,0.8134796238244515
se_omx30,11,var_index,volmatched,0.9022298456260721,0.8319039451114922
se_omx30,11,var_index,peak,0.4822695035460994,0.597678916827853
se_omx30,11,ac1_index,all,0.5595611285266459,0.4843260188087774
se_omx30,11,ac1_index,volmatched,0.5643224699828473,0.48198970840480276
se_omx30,11,ac1_index,peak,0.6879432624113475,0.6286266924564797
se_omx30,11,mean_corr,all,0.7648902821316614,0.7727272727272727
se_omx30,11,mean_corr,volmatched,0.8181818181818182,0.7924528301886792
se_omx30,11,mean_corr,peak,0.4416505480335267,0.5003223726627982
se_omx30,11,absorption,all,0.7601880877742947,0.7304075235109718
se_omx30,11,absorption,volmatched,0.8130360205831905,0.7478559176672385
se_omx30,11,absorption,peak,0.437137330754352,0.5003223726627982
se_omx30,11,cssd,all,0.8338557993730408,0.8644200626959248
se_omx30,11,cssd,volmatched,0.8456260720411664,0.8807890222984563
se_omx30,11,cssd,peak,0.6137975499677627,0.6589297227595101
se_omx30,11,flicker,all,0.658307210031348,0.7539184952978055
se_omx30,11,flicker,volmatched,0.7015437392795884,0.7667238421955404
se_omx30,11,flicker,peak,0.4184397163120568,0.5274016763378466
sg_sti,10,var_index,all,0.42122641509433967,0.47594339622641507
sg_sti,10,var_index,volmatched,0.43512195121951225,0.48048780487804876
sg_sti,10,var_index,peak,0.4251748251748252,0.4575174825174826
sg_sti,10,ac1_index,all,0.5009433962264151,0.603066037735849
sg_sti,10,ac1_index,volmatched,0.4848780487804879,0.5909756097560976
sg_sti,10,ac1_index,peak,0.49825174825174834,0.6111888111888112
sg_sti,10,mean_corr,all,0.28537735849056606,0.4091981132075472
sg_sti,10,mean_corr,volmatched,0.2951219512195122,0.4231707317073171
sg_sti,10,mean_corr,peak,0.3300699300699301,0.3821678321678321
sg_sti,10,absorption,all,0.2816037735849057,0.40377358490566034
sg_sti,10,absorption,volmatched,0.291219512195122,0.41707317073170735
sg_sti,10,absorption,peak,0.32622377622377624,0.3611888111888112
sg_sti,10,cssd,all,0.4518867924528302,0.5299528301886792
sg_sti,10,cssd,volmatched,0.4648780487804878,0.5387804878048781
sg_sti,10,cssd,peak,0.5185314685314685,0.5192307692307693
sg_sti,10,flicker,all,0.275,0.38066037735849056
sg_sti,10,flicker,volmatched,0.284390243902439,0.39365853658536587
sg_sti,10,flicker,peak,0.30804195804195805,0.3552447552447552
uk_ftse100,8,var_index,all,0.573902027027027,0.47297297297297297
uk_ftse100,8,var_index,volmatched,0.5582669322709164,0.45766932270916333
uk_ftse100,8,var_index,peak,0.5663357400722022,0.45780685920577624
uk_ftse100,8,ac1_index,all,0.6351351351351351,0.3984375
uk_ftse100,8,ac1_index,volmatched,0.649402390438247,0.4280378486055777
uk_ftse100,8,ac1_index,peak,0.6367328519855595,0.371841155234657
uk_ftse100,8,mean_corr,all,0.4814189189189189,0.4157516891891892
uk_ftse100,8,mean_corr,volmatched,0.47460159362549803,0.41658366533864544
uk_ftse100,8,mean_corr,peak,0.5126353790613718,0.4268953068592058
uk_ftse100,8,absorption,all,0.4793074324324324,0.42863175675675674
uk_ftse100,8,absorption,volmatched,0.4721115537848606,0.43177290836653387
uk_ftse100,8,absorption,peak,0.5212093862815884,0.440884476534296
uk_ftse100,8,cssd,all,0.6186655405405406,0.5386402027027026
uk_ftse100,8,cssd,volmatched,0.6120517928286853,0.5363545816733067
uk_ftse100,8,cssd,peak,0.5821299638989169,0.5236913357400722
uk_ftse100,8,flicker,all,0.5380067567567568,0.45819256756756754
uk_ftse100,8,flicker,volmatched,0.5283864541832669,0.4611553784860558
uk_ftse100,8,flicker,peak,0.5505415162454874,0.4805956678700361
uk_ftse250,15,var_index,all,0.6782608695652173,0.5692753623188407
uk_ftse250,15,var_index,volmatched,0.6476190476190476,0.563265306122449
uk_ftse250,15,var_index,peak,0.6307328605200946,0.5226950354609929
uk_ftse250,15,ac1_index,all,0.6382608695652173,0.4269565217391304
uk_ftse250,15,ac1_index,volmatched,0.6285714285714286,0.44251700680272116
uk_ftse250,15,ac1_index,peak,0.6673758865248227,0.4444444444444445
uk_ftse250,15,mean_corr,all,0.5768115942028985,0.4811594202898551
uk_ftse250,15,mean_corr,volmatched,0.529251700680272,0.49115646258503415
uk_ftse250,15,mean_corr,peak,0.6229314420803782,0.48912529550827427
uk_ftse250,15,absorption,all,0.5779710144927536,0.45768115942028975
uk_ftse250,15,absorption,volmatched,0.5346938775510204,0.486734693877551
uk_ftse250,15,absorption,peak,0.5933806146572104,0.48167848699763594
uk_ftse250,15,cssd,all,0.7217391304347824,0.6159420289855073
uk_ftse250,15,cssd,volmatched,0.7054421768707484,0.6017006802721088
uk_ftse250,15,cssd,peak,0.609692671394799,0.5522458628841608
uk_ftse250,15,flicker,all,0.6342028985507245,0.5205797101449275
uk_ftse250,15,flicker,volmatched,0.5918367346938775,0.5231292517006804
uk_ftse250,15,flicker,peak,0.6276595744680851,0.4990543735224586
us_sp400_mid,12,var_index,all,0.5534883720930234,0.5868217054263567
us_sp400_mid,12,var_index,volmatched,0.5444711538461539,0.5821314102564102
us_sp400_mid,12,var_index,peak,0.4923728813559321,0.5012711864406779
us_sp400_mid,12,ac1_index,all,0.515891472868217,0.35930232558139535
us_sp400_mid,12,ac1_index,volmatched,0.5068108974358974,0.3513621794871795
us_sp400_mid,12,ac1_index,peak,0.5861581920903954,0.4206214689265537
us_sp400_mid,12,mean_corr,all,0.5724806201550389,0.6067829457364341
us_sp400_mid,12,mean_corr,volmatched,0.5629006410256411,0.6031650641025641
us_sp400_mid,12,mean_corr,peak,0.47118644067796617,0.4970338983050848
us_sp400_mid,12,absorption,all,0.5666666666666667,0.587015503875969
us_sp400_mid,12,absorption,volmatched,0.5556891025641025,0.5827323717948718
us_sp400_mid,12,absorption,peak,0.46807909604519776,0.48149717514124296
us_sp400_mid,12,cssd,all,0.49418604651162784,0.5753875968992249
us_sp400_mid,12,cssd,volmatched,0.4951923076923077,0.5727163461538461
us_sp400_mid,12,cssd,peak,0.47231638418079097,0.5745762711864406
us_sp400_mid,12,flicker,all,0.603875968992248,0.6751937984496124
us_sp400_mid,12,flicker,volmatched,0.5965544871794871,0.6774839743589745
us_sp400_mid,12,flicker,peak,0.4988700564971751,0.5310734463276836
us_sp500,11,var_index,all,0.7465127465127466,0.7392977392977392
us_sp500,11,var_index,volmatched,0.7367632367632367,0.7392607392607392
us_sp500,11,var_index,peak,0.6018896833503574,0.6196373850868233
us_sp500,11,ac1_index,all,0.5161135161135161,0.4410774410774411
us_sp500,11,ac1_index,volmatched,0.5134865134865135,0.43806193806193794
us_sp500,11,ac1_index,peak,0.5875893769152195,0.5134065372829417
us_sp500,11,mean_corr,all,0.6594516594516594,0.6875901875901875
us_sp500,11,mean_corr,volmatched,0.6478521478521478,0.6888111888111887
us_sp500,11,mean_corr,peak,0.5403472931562819,0.5421348314606742
us_sp500,11,absorption,all,0.657046657046657,0.6594516594516595
us_sp500,11,absorption,volmatched,0.6463536463536463,0.6618381618381618
us_sp500,11,absorption,peak,0.5365168539325843,0.5346016343207354
us_sp500,11,cssd,all,0.6455026455026456,0.7241462241462241
us_sp500,11,cssd,volmatched,0.6438561438561439,0.7255244755244754
us_sp500,11,cssd,peak,0.5671603677221654,0.619126659856997
us_sp500,11,flicker,all,0.6642616642616642,0.706108706108706
us_sp500,11,flicker,volmatched,0.6563436563436563,0.7072927072927073
us_sp500,11,flicker,peak,0.5398365679264556,0.5653728294177733
us_sp600_small,17,var_index,all,0.6339869281045752,0.6797385620915033
us_sp600_small,17,var_index,volmatched,0.6339869281045752,0.6797385620915033
us_sp600_small,17,var_index,peak,0.5220588235294118,0.5833728652751423
us_sp600_small,17,ac1_index,all,0.4662309368191721,0.3684640522875817
us_sp600_small,17,ac1_index,volmatched,0.4662309368191721,0.3684640522875817
us_sp600_small,17,ac1_index,peak,0.5277514231499051,0.4966793168880456
us_sp600_small,17,mean_corr,all,0.7483660130718954,0.7878540305010894
us_sp600_small,17,mean_corr,volmatched,0.7483660130718954,0.7878540305010894
us_sp600_small,17,mean_corr,peak,0.5377134724857685,0.6061432637571159
us_sp600_small,17,absorption,all,0.738562091503268,0.7775054466230936
us_sp600_small,17,absorption,volmatched,0.738562091503268,0.7775054466230936
us_sp600_small,17,absorption,peak,0.5246679316888044,0.5817125237191652
us_sp600_small,17,cssd,all,0.5735294117647058,0.6307189542483661
us_sp600_small,17,cssd,volmatched,0.5735294117647058,0.6307189542483661
us_sp600_small,17,cssd,peak,0.5336812144212524,0.5565702087286528
us_sp600_small,17,flicker,all,0.8115468409586056,0.8262527233115469
us_sp600_small,17,flicker,volmatched,0.8115468409586056,0.8262527233115469
us_sp600_small,17,flicker,peak,0.5763757115749526,0.6008064516129032
world_indices,10,var_index,all,0.5621722846441947,0.4595505617977528
world_indices,10,var_index,volmatched,0.5805,0.4845
world_indices,10,var_index,peak,0.5958974358974359,0.46217948717948715
world_indices,10,ac1_index,all,0.6056179775280899,0.4788389513108614
