kind,event,lag,mean_corr
crash onset,842656,-60,0.5300029516220093
crash onset,842656,-50,0.4425617456436157
crash onset,842656,-40,0.5245317220687866
crash onset,842656,-30,0.5737232565879822
crash onset,842656,-20,0.6081355810165405
crash onset,842656,-10,0.659906804561615
crash onset,842656,0,0.7199223041534424
crash onset,842656,10,0.765453040599823
crash onset,842656,20,0.7468622922897339
crash onset,842656,30,0.6884016990661621
crash onset,842656,40,0.7173192501068115
crash onset,842656,50,0.7879111766815186
crash onset,842656,60,0.8548519611358643
crash onset,842656,70,0.838104248046875
crash onset,842656,80,0.7984861731529236
crash onset,842656,90,0.7297461628913879
crash onset,1562279,-90,0.3523510694503784
crash onset,1562279,-80,0.3994961977005005
crash onset,1562279,-70,0.4309062063694
crash onset,1562279,-60,0.4357262849807739
crash onset,1562279,-50,0.44461414217948914
crash onset,1562279,-40,0.33038079738616943
crash onset,1562279,-30,0.6972182989120483
crash onset,1562279,-20,0.7160605192184448
crash onset,1562279,-10,0.7264421582221985
crash onset,1562279,0,0.7221388220787048
crash onset,1562279,10,0.7678554058074951
crash onset,1562279,20,0.8490392565727234
crash onset,1562279,30,0.8343299627304077
crash onset,1562279,40,0.8287774324417114
crash onset,1562279,50,0.7914469838142395
crash onset,1562279,60,0.7819908261299133
crash onset,1562279,70,0.7813724875450134
crash onset,1562279,80,0.7583414316177368
crash onset,1681564,-90,0.4688980281352997
crash onset,1681564,-80,0.41604718565940857
crash onset,1681564,-70,0.4709761440753937
crash onset,1681564,-60,0.4321925640106201
crash onset,1681564,-50,0.44669729471206665
crash onset,1681564,-40,0.45627591013908386
crash onset,1681564,-30,0.45360735058784485
crash onset,1681564,-20,0.5103625655174255
crash onset,1681564,-10,0.6628610491752625
crash onset,1681564,0,0.6742761731147766
crash onset,1681564,10,0.6691781878471375
crash onset,1681564,20,0.6691337823867798
crash onset,1681564,30,0.6143845319747925
crash onset,1681564,40,0.6219834089279175
crash onset,1681564,50,0.6607109308242798
crash onset,1681564,60,0.6718655824661255
crash onset,1681564,70,0.6908277273178101
crash onset,1681564,80,0.6259790658950806
crash onset,1681564,90,0.5525884628295898
crash onset,1682419,-90,0.5548489689826965
crash onset,1682419,-80,0.5538557171821594
crash onset,1682419,-70,0.5552768111228943
crash onset,1682419,-60,0.5414881706237793
crash onset,1682419,-50,0.5279263257980347
crash onset,1682419,-40,0.5177186727523804
crash onset,1682419,-30,0.5215400457382202
crash onset,1682419,-20,0.43580886721611023
crash onset,1682419,-10,0.4197573661804199
crash onset,1682419,0,0.47035500407218933
crash onset,1682419,10,0.5141180157661438
crash onset,1682419,20,0.5599597692489624
crash onset,1682419,30,0.5953076481819153
crash onset,1682419,40,0.5887187123298645
crash onset,1682419,50,0.6289532780647278
crash onset,1682419,60,0.6356342434883118
crash onset,1682419,70,0.7575585842132568
