market,kind,date,trough,mean_corr,planted_mean_corr,absorption,planted_absorption,flicker,planted_flicker,quarter
in_nifty50,crash,2011-07-07,2011-08-26,-0.05105677385546344,-0.02105677385546344,-0.03752774395009587,-0.007527743950095876,-0.005884587869004583,0.024115412130995457,2011Q3
in_nifty50,crash,2013-07-23,2013-08-28,-0.021436422972562146,0.00856357702743788,0.005820865561584709,0.03582086556158469,-0.04746472245991054,-0.017464722459910542,2013Q3
in_nifty50,crash,2015-07-22,2015-09-07,-0.008573205178779247,0.021426794821220757,-0.01316732436930459,0.01683267563069544,0.004567492189306415,0.03456749218930642,2015Q3
in_nifty50,crash,2018-08-28,2018-10-26,-0.0013969736050837706,0.028603026394916242,0.0028347745579736746,0.03283477455797367,-0.057385731801054364,-0.027385731801054383,2018Q3
in_nifty50,crash,2020-04-30,2020-05-18,-0.015207829746352687,0.014792170253647319,-0.037543470945480543,-0.007543470945480524,0.018417209260264054,0.048417209260264105,2020Q2
in_nifty50,crash,2022-01-17,2022-03-07,-0.04101968246555671,-0.011019682465556707,-0.04289992509370425,-0.01289992509370425,-0.06489028352238378,-0.03489028352238382,2022Q1
in_nifty50,placebo,2024-06-11,2024-06-11,0.09233688837036962,,0.07363008085345642,,0.058577846364801345,,2024Q2
in_nifty50,placebo,2025-04-17,2025-04-17,0.002156720817685626,,0.010453540610768563,,-0.021930832516072824,,2025Q2
it_ftsemib,crash,2000-09-07,2000-10-12,,,,,,,2000Q3
it_ftsemib,crash,2001-08-07,2001-09-21,-0.026398719110986235,0.00360128088901375,-0.01689458243551327,0.013105417564486757,0.023701374325137903,0.0537013743251379,2001Q3
it_ftsemib,crash,2002-08-27,2002-10-09,-0.07601129000620094,-0.04601129000620093,-0.0428826524827986,-0.012882652482798565,-0.05024475160379416,-0.02024475160379415,2002Q3
it_ftsemib,crash,2003-02-18,2003-03-12,0.016886101334480548,0.04688610133448055,0.009312279976322307,0.039312279976322265,0.028796593198682954,0.05879659319868298,2003Q1
it_ftsemib,crash,2006-05-09,2006-06-14,0.07858025251068547,0.10858025251068548,0.06743237822656238,0.09743237822656241,0.060133239365245374,0.09013323936524537,2006Q2
it_ftsemib,crash,2007-12-10,2008-03-10,-0.09311235912362681,-0.06311235912362682,-0.07088528789922445,-0.040885287899224444,-0.09298878594305421,-0.06298878594305421,2007Q4
it_ftsemib,crash,2008-08-11,2008-10-28,-0.10338138952254394,-0.07338138952254396,-0.08487914292150728,-0.05487914292150731,0.019379245766427487,0.04937924576642749,2008Q3
it_ftsemib,crash,2009-06-11,2009-07-10,0.32151526167548494,0.35151526167548497,0.2722503376614051,0.3022503376614051,0.2813782136155681,0.3113782136155681,2009Q2
it_ftsemib,crash,2010-01-08,2010-02-05,0.03130348759487155,0.06130348759487153,0.023212992607216914,0.05321299260721694,0.005220303327446181,0.0352203033274462,2010Q1
it_ftsemib,crash,2010-10-21,2010-11-30,-0.07055986314734958,-0.040559863147349585,-0.0670644047682042,-0.037064404768204176,-0.04038689131019631,-0.010386891310196322,2010Q4
it_ftsemib,crash,2011-04-29,2011-07-18,-0.11728373199772313,-0.08728373199772313,-0.1000867216790805,-0.0700867216790805,-0.2134899882447967,-0.1834899882447967,2011Q2
it_ftsemib,crash,2011-10-27,2011-11-23,-0.06080399044482918,-0.03080399044482925,-0.043689414764145784,-0.013689414764145702,-0.14251850788184,-0.11251850788183998,2011Q4
it_ftsemib,crash,2012-07-03,2012-07-24,0.0325996227323869,0.06259962273238688,0.0415870593380312,0.0715870593380312,0.04619037746082499,0.07619037746082499,2012Q3
it_ftsemib,crash,2013-01-28,2013-04-04,-0.022547648298528084,0.007452351701471932,-0.01833247968057246,0.011667520319427443,-0.04749924630681209,-0.017499246306812117,2013Q1
it_ftsemib,crash,2014-09-04,2014-10-16,-0.05065948239582625,-0.020659482395826302,-0.04054596684223558,-0.010545966842235554,-0.0553220931561892,-0.02532209315618923,2014Q3
it_ftsemib,crash,2015-05-27,2015-07-07,0.002182025805798534,0.0321820258057986,0.001234420109589185,0.0312344201095892,-0.009090979990813352,0.020909020009186638,2015Q2
it_ftsemib,crash,2015-11-30,2016-02-11,-0.08583210451446653,-0.055832104514466484,-0.07438951637703206,-0.044389516377032,-0.038579733697479655,-0.008579733697479627,2015Q4
it_ftsemib,crash,2018-05-07,2018-05-29,-0.06463155085083906,-0.03463155085083912,-0.04066636826157801,-0.010666368261577972,-0.06370645464744097,-0.03370645464744094,2018Q2
