market,date,fall
es_ibex35,2025-03-25,-0.12596130496961777
eu_stoxx50,2010-01-08,-0.12797527795633956
eu_stoxx50,2011-02-18,-0.11302477502139019
eu_stoxx50,2011-10-27,-0.15346878171368017
eu_stoxx50,2013-05-28,-0.1142647673102426
eu_stoxx50,2014-09-04,-0.12284692887520021
eu_stoxx50,2015-07-20,-0.16633035836800392
eu_stoxx50,2020-02-19,-0.38274023187668704
eu_stoxx50,2022-03-29,-0.11876523103345349
eu_stoxx50,2025-03-03,-0.16578256758658616
eu_stoxx50,2026-02-25,-0.10886201560884601
fr_cac40,2002-08-22,-0.23653900127010752
fr_cac40,2006-05-09,-0.1311589990022377
fr_cac40,2007-07-16,-0.14041561138501335
fr_cac40,2008-05-19,-0.14483970737500196
fr_cac40,2009-01-06,-0.16108499533136456
fr_cac40,2010-01-08,-0.11900203592358283
fr_cac40,2011-02-18,-0.11079253115785936
fr_cac40,2011-10-27,-0.1621940433116189
fr_cac40,2013-05-22,-0.11243343491822355
fr_cac40,2014-09-04,-0.12821524463760625
fr_cac40,2015-05-27,-0.11150725078178725
fr_cac40,2016-05-30,-0.1101911653367954
fr_cac40,2018-09-27,-0.1060066485939598
fr_cac40,2020-02-19,-0.3855846041250194
fr_cac40,2022-03-29,-0.10396399974004955
fr_cac40,2026-02-26,-0.11081282471166198
hk_hsi,2002-08-22,-0.13811201913852644
hk_hsi,2004-02-18,-0.1077684591956578
hk_hsi,2006-05-08,-0.11948874958288724
hk_hsi,2007-01-24,-0.1035572096974422
hk_hsi,2007-07-24,-0.13146021651481954
hk_hsi,2008-05-06,-0.13973847353726632
hk_hsi,2008-12-11,-0.19439734501396433
hk_hsi,2010-01-06,-0.1278414370583415
hk_hsi,2011-10-28,-0.11637603317355538
hk_hsi,2012-05-02,-0.1465802476185466
hk_hsi,2013-05-20,-0.1566017213716402
hk_hsi,2018-01-26,-0.11143381614394421
hk_hsi,2019-07-02,-0.12447411227879979
hk_hsi,2020-01-17,-0.100717508978861
hk_hsi,2021-02-17,-0.10247181220759227
hk_hsi,2021-10-20,-0.10180432266832429
hk_hsi,2022-06-28,-0.12525690392126576
hk_hsi,2023-01-27,-0.14848584156780265
hk_hsi,2023-07-31,-0.12229980554290742
hk_hsi,2024-10-07,-0.15902487231217632
hk_hsi,2026-05-07,-0.10732854311944373
in_nifty50,2011-01-03,-0.1513252368115654
in_nifty50,2011-07-07,-0.15418187675841166
in_nifty50,2013-07-23,-0.13044190828333202
in_nifty50,2015-07-22,-0.10615625180981059
in_nifty50,2018-08-28,-0.1281125875857222
in_nifty50,2020-04-30,-0.10513801859607719
in_nifty50,2022-01-17,-0.11252666623069729
in_nifty50,2026-02-11,-0.13258916386365194
it_ftsemib,2002-08-27,-0.23546220358481462
it_ftsemib,2003-02-18,-0.13356354179988916
it_ftsemib,2006-05-09,-0.10099316393654068
it_ftsemib,2007-12-10,-0.16757221197341488
it_ftsemib,2008-08-11,-0.13171160807930438
it_ftsemib,2009-06-11,-0.1334952635414136
it_ftsemib,2010-01-08,-0.12578220150350683
it_ftsemib,2010-10-21,-0.1161176905995559
it_ftsemib,2011-04-29,-0.10259612811133911
it_ftsemib,2011-10-27,-0.17923916248894134
it_ftsemib,2012-07-03,-0.14702635573340694
it_ftsemib,2013-01-28,-0.13158629937978428
it_ftsemib,2014-09-04,-0.15574956814043606
it_ftsemib,2015-05-27,-0.12166296467038262
it_ftsemib,2015-11-30,-0.1550312527511225
it_ftsemib,2018-05-07,-0.13009289439374183
it_ftsemib,2020-02-19,-0.4154172227019389
it_ftsemib,2022-05-30,-0.16542383812326167
it_ftsemib,2024-07-23,-0.10194006582366189
it_ftsemib,2025-03-19,-0.17581144713318053
jp_largecap,2002-08-26,-0.1518116632972386
jp_largecap,2003-10-20,-0.1386087218694002
jp_largecap,2004-04-26,-0.13637412798817072
jp_largecap,2006-04-07,-0.11183326670332705
jp_largecap,2007-07-09,-0.16363508801050342
jp_largecap,2008-02-27,-0.15991319908316026
jp_largecap,2009-01-07,-0.19729548158954324
